일자,기관,개인,외국인,기타,전체
"2020/05/20","77145","0","0","0","77145"
"2020/05/19","86320","0","0","0","86320"
"2020/05/18","73385","0","0","0","73385"
"2020/05/15","59099","0","0","0","59099"
"2020/05/14","74226","0","0","0","74226"
"2020/05/13","89786","0","0","0","89786"
"2020/05/12","79938","0","0","0","79938"
"2020/05/11","53148","0","0","0","53148"
"2020/05/08","56455","0","0","0","56455"
"2020/05/07","20105","0","0","0","20105"
"2020/05/06","48197","0","0","0","48197"
"2020/05/04","33082","0","0","0","33082"
"2020/04/29","130730","0","0","0","130730"
"2020/04/28","52076","0","0","0","52076"
"2020/04/27","17822","0","0","0","17822"
"2020/04/24","41447","0","0","0","41447"
"2020/04/23","52109","0","0","0","52109"
"2020/04/22","82526","0","0","0","82526"
"2020/04/21","46870","0","0","0","46870"
"2020/04/20","87403","0","0","0","87403"
"2020/04/17","26700","0","0","0","26700"
"2020/04/16","76754","0","0","0","76754"
"2020/04/14","45170","0","0","0","45170"
"2020/04/13","73564","0","0","0","73564"
"2020/04/10","71901","0","0","0","71901"
"2020/04/09","137628","0","0","0","137628"
"2020/04/08","64452","0","0","0","64452"
"2020/04/07","68611","0","0","0","68611"
"2020/04/06","48205","0","0","0","48205"
"2020/04/03","170121","0","0","0","170121"
"2020/04/02","127231","0","0","0","127231"
"2020/04/01","147444","0","0","0","147444"
"2020/03/31","236323","0","0","0","236323"
"2020/03/30","93982","0","0","0","93982"
"2020/03/27","172151","0","0","0","172151"
"2020/03/26","95495","0","0","0","95495"
"2020/03/25","164130","0","0","0","164130"
"2020/03/24","190515","0","0","0","190515"
"2020/03/23","125156","0","0","0","125156"
"2020/03/20","93120","0","0","0","93120"
"2020/03/19","87012","0","0","0","87012"
"2020/03/18","59958","0","0","0","59958"
"2020/03/17","224932","0","0","0","224932"
"2020/03/16","1202853","0","0","0","1202853"
"2020/03/13","2020261","423567","19275634","28000","21747462"
"2020/03/12","1955322","412635","18215426","0","20583383"
"2020/03/11","1087366","390640","19021199","32000","20531205"
"2020/03/10","1308872","672755","14805860","0","16787487"
"2020/03/09","1645919","477155","18518164","0","20641238"
"2020/03/06","1719457","473063","14387071","0","16579591"
"2020/03/05","1497431","439052","12292204","0","14228687"
"2020/03/04","936031","449217","12011726","0","13396974"
"2020/03/03","1639312","355737","16488756","20000","18503805"
"2020/03/02","1462306","325211","14484400","0","16271917"
"2020/02/28","1774519","489931","20411811","0","22676261"
"2020/02/27","1966269","431775","17608949","5000","20011993"
"2020/02/26","1417909","432170","15064068","0","16914147"
"2020/02/25","1024810","327968","14906851","0","16259629"
"2020/02/24","1569537","501892","19264312","0","21335741"
"2020/02/21","1195375","242142","14136810","0","15574327"
"2020/02/20","1676034","429804","13186952","0","15292790"
"2020/02/19","1811318","666100","13069291","0","15546709"
"2020/02/18","2688607","481408","17127151","0","20297166"
"2020/02/17","1179960","440056","14951531","0","16571547"
