종목코드,종목명,수량_공매도잔고수량,수량_상장주식수,금액_공매도잔고금액,금액_시가총액,비중
"267320","나인테크","0","39396554","0.0","1.35918111E8","0.00"
"111710","남화산업","0","20588000","0.0","1.5379236E8","0.00"
"091590","남화토건","0","11740000","0.0","8.49976E7","0.00"
"168330","내츄럴엔도텍","54099","31754900","221535.0","1.30036316E8","0.17"
"094860","네오리진","0","104459775","0.0","7.4584279E7","0.00"
"253590","네오셈","0","38454626","0.0","1.259389E8","0.00"
"212560","네오오토","0","7874963","0.0","4.685603E7","0.00"
"095660","네오위즈","64461","22033719","1624417.0","5.55249719E8","0.29"
"042420","네오위즈홀딩스","8772","8856866","252195.0","2.54634898E8","0.10"
"950220","네오이뮨텍","0","98741510","0.0","4.09777267E8","0.00"
"311390","네오크레마","0","8036595","0.0","9.8448289E7","0.00"
"085910","네오티스","0","13828718","0.0","6.7276713E7","0.00"
"092730","네오팜","14505","8207361","291551.0","1.64967956E8","0.18"
"290660","네오펙트","0","19240617","0.0","3.9731874E7","0.00"
"306620","네온테크","0","41086029","0.0","1.65987557E8","0.00"
"153460","네이블","0","6530014","0.0","4.66243E7","0.00"
"007390","네이처셀","1580720","62637156","2.8136816E7","1.114941377E9","2.52"
"033640","네패스","519180","23059202","9760584.0","4.33512998E8","2.25"
"330860","네패스아크","0","12184045","0.0","3.4663608E8","0.00"
"089140","넥스턴바이오","57015","33600118","149094.0","8.7864309E7","0.17"
"137940","넥스트아이","0","78320992","0.0","5.208346E7","0.00"
"396270","넥스트칩","0","17384240","0.0","2.70324932E8","0.00"
"348210","넥스틴","0","9682380","0.0","5.25753234E8","0.00"
"225570","넥슨게임즈","428483","65735369","7198514.0","1.104354199E9","0.65"
"217270","넵튠","17287","32995124","197072.0","3.76144414E8","0.05"
"104620","노랑풍선","0","15747096","0.0","1.28496303E8","0.00"
"194700","노바렉스","0","9003740","0.0","2.62909208E8","0.00"
"285490","노바텍","0","10575831","0.0","3.25206803E8","0.00"
"106520","노블엠앤비","0","24938956","0.0","9.8384181E7","0.00"
"376930","노을","0","11453530","0.0","1.12817271E8","0.00"
"278650","노터스","30799","70255377","215593.0","4.91787639E8","0.04"
"142280","녹십자엠에스","0","21117283","0.0","1.56056721E8","0.00"
"234690","녹십자웰빙","0","17752276","0.0","1.37757662E8","0.00"
"065560","녹원씨엔아이","115315","23260125","665368.0","1.34210921E8","0.50"
"054050","농우바이오","48148","16030561","458369.0","1.52610941E8","0.30"
"069140","누리플랜","0","7102743","0.0","3.9846388E7","0.00"
"040160","누리플렉스","0","12055535","0.0","7.932542E7","0.00"
"332290","누보","0","31686323","0.0","8.3018166E7","0.00"
"126870","뉴로스","0","35639397","0.0","7.9475855E7","0.00"
"060260","뉴보텍","0","35761412","0.0","3.9873974E7","0.00"
"012340","뉴인텍","0","30044502","0.0","8.7729946E7","0.00"
"214870","뉴지랩파마","180261","31326035","1625954.0","2.82560836E8","0.58"
"270870","뉴트리","0","9200224","0.0","1.15922822E8","0.00"
"144960","뉴파워프라즈마","35572","43692624","135351.0","1.66250434E8","0.08"
"085670","뉴프렉스","0","24209753","0.0","1.00591524E8","0.00"
"119860","다나와","100420","13074822","1712161.0","2.22925715E8","0.77"
"064260","다날","1130617","68949040","7869094.0","4.79885318E8","1.64"
"093640","다믈멀티미디어","0","18248289","0.0","6.6058806E7","0.00"
"340360","다보링크","0","42765160","0.0","5.1104366E7","0.00"
"039560","다산네트웍스","61944","36380838","341931.0","2.00822226E8","0.17"
"298870","다올인베스트먼트","0","100000000","0.0","3.075E8","0.00"
"032190","다우데이타","344846","38300000","3517429.0","3.9066E8","0.90"
"068240","다원시스","1004695","34660519","2.210329E7","7.62531418E8","2.90"
"020400","대동금속","0","3189166","0.0","2.8128444E7","0.00"
"008830","대동기어","0","8987520","0.0","6.273289E7","0.00"
"048470","대동스틸","0","10000000","0.0","4.685E7","0.00"
"004780","대륙제관","31882","15903199","142034.0","7.0848752E7","0.20"
"017650","대림제지","0","9000000","0.0","7.605E7","0.00"
"007720","대명소노시즌","0","100800450","0.0","8.5277181E7","0.00"
"389260","대명에너지","0","17000000","0.0","2.38E8","0.00"
"317850","대모","0","8324420","0.0","6.9092686E7","0.00"
"290670","대보마그네틱","0","7824500","0.0","3.1532735E8","0.00"
"078140","대봉엘에스","16984","11086579","123304.0","8.0488564E7","0.15"
"036480","대성미생물","0","3800000","0.0","4.541E7","0.00"
"025440","대성엘텍","0","100971343","0.0","8.9561581E7","0.00"
"027830","대성창투","92884","40000000","276330.0","1.19E8","0.23"
"104040","대성파인텍","110555","31301281","173571.0","4.9143011E7","0.35"
"387310","대신밸런스제10호스팩","0","5460000","0.0","1.2285E7","0.00"
"397500","대신밸런스제11호스팩","0","7610000","0.0","2.03948E7","0.00"
"020180","대신정보통신","0","38428915","0.0","4.2079662E7","0.00"
"045390","대아티아이","599432","71151522","1915185.0","2.27329113E8","0.84"
"108380","대양전기공업","13792","9567333","164125.0","1.13851263E8","0.14"
"006580","대양제지","0","26850000","0.0","8.7531E7","0.00"
"007680","대원","0","13446474","0.0","1.20211478E8","0.00"
"048910","대원미디어","52208","12578946","618665.0","1.4906051E8","0.42"
