적출일,공매도 거래제한일_시작일,공매도 거래제한일_종료일,종목코드,종목명,시장구분,공매도 과열종목 적출 지표_과거40거래일 중 종목 거래일수,공매도 과열종목 적출 지표_공매도비중,공매도 과열종목 적출 지표_주가 수익률,공매도 과열종목 적출 지표_공매도 거래대금 증가배율,공매도 과열종목 적출 지표_직전40거래일 공매도비중 평균,지정유형
"2021/10/28","2021/10/29","2021/10/29","206650","유바이오로직스","KOSDAQ","40","23.38","-6.39","219.36",,"유형1"
"2021/10/28","2021/10/29","2021/10/29","023410","유진기업","KOSDAQ","40",,,"7.05","7.89","유형3"
"2021/10/26","2021/10/27","2021/10/27","267980","매일유업","KOSDAQ","40",,,"6.03","12.51","유형3"
"2021/10/26","2021/10/27","2021/10/27","263750","펄어비스","KOSDAQ","40",,,"5.64","8.80","유형3"
"2021/10/22","2021/10/25","2021/10/25","078340","컴투스","KOSDAQ","40",,,"5.70","6.55","유형3"
"2021/10/20","2021/10/21","2021/10/21","078340","컴투스","KOSDAQ","40",,,"7.76","6.50","유형3"
"2021/10/19","2021/10/20","2021/10/20","100130","동국S&C","KOSDAQ","40",,,"7.03","7.01","유형3"
"2021/10/18","2021/10/19","2021/10/19","078340","컴투스","KOSDAQ","40",,,"13.39","6.48","유형3"
"2021/10/12","2021/10/13","2021/10/13","068240","다원시스","KOSDAQ","40",,,"5.01","11.29","유형3"
"2021/10/12","2021/10/13","2021/10/13","194480","데브시스터즈","KOSDAQ","40",,"-16.75","6.22",,"유형2"
"2021/10/08","2021/10/12","2021/10/12","086520","에코프로","KOSDAQ","40",,,"7.46","5.07","유형3"
"2021/10/06","2021/10/07","2021/10/07","005290","동진쎄미켐","KOSDAQ","40","13.28","-5.89","6.56",,"유형1"
"2021/10/06","2021/10/07","2021/10/07","115450","지트리비앤티","KOSDAQ","40",,"-12.35","9.40",,"유형2"
"2021/10/05","2021/10/06","2021/10/06","253450","스튜디오드래곤","KOSDAQ","40",,,"8.23","10.31","유형3"
"2021/10/01","2021/10/05","2021/10/05","005290","동진쎄미켐","KOSDAQ","40",,,"21.30","6.38","유형3"
"2021/09/30","2021/10/01","2021/10/01","078130","국일제지","KOSDAQ","40","19.02","-5.10","7.57",,"유형1"
"2021/09/30","2021/10/01","2021/10/01","045390","대아티아이","KOSDAQ","40",,,"7.28","6.14","유형3"
"2021/09/30","2021/10/01","2021/10/01","100130","동국S&C","KOSDAQ","40",,,"7.42","6.95","유형3"
"2021/09/30","2021/10/01","2021/10/01","253450","스튜디오드래곤","KOSDAQ","40",,,"6.59","9.78","유형3"
"2021/09/28","2021/09/29","2021/09/29","078130","국일제지","KOSDAQ","40",,,"5.86","5.42","유형3"
"2021/09/28","2021/09/29","2021/09/29","253450","스튜디오드래곤","KOSDAQ","40",,,"5.54","9.55","유형3"
"2021/09/16","2021/09/17","2021/09/17","053800","안랩","KOSDAQ","40",,,"6.59","6.85","유형3"
"2021/09/15","2021/09/16","2021/09/16","182400","엔케이맥스","KOSDAQ","40",,"-20.93","5.15",,"유형2"
"2021/09/15","2021/09/16","2021/09/16","048530","인트론바이오","KOSDAQ","40",,,"11.24","8.44","유형3"
"2021/09/14","2021/09/15","2021/09/15","194480","데브시스터즈","KOSDAQ","40",,,"5.72","7.32","유형3"
