종목코드,종목명,증권구분,수량_공매도거래량_전체,수량_공매도거래량_업틱룰적용,수량_공매도거래량_업틱룰예외,수량_거래량,수량_비중,금액_공매도거래대금_전체,금액_공매도거래대금_업틱룰적용,금액_공매도거래대금_업틱룰예외,금액_거래대금,금액_비중
"084870","TBH글로벌","주권","0","0","0","18899","0.00","0","0","0","37243860","0.00"
"002710","TCC스틸","주권","0","0","0","335266","0.00","0","0","0","4228651050","0.00"
"069260","TKG휴켐스","주권","5353","4646","707","174310","3.07","106762250","92691650","14070600","3463401550","3.08"
"002900","TYM","주권","50","0","50","2811848","0.00","125500","0","125500","7046588410","0.00"
"024070","WISCOM","주권","0","0","0","16108","0.00","0","0","0","52886155","0.00"
"037270","YG PLUS","주권","0","0","0","851921","0.00","0","0","0","4648205250","0.00"
"000500","가온전선","주권","0","0","0","11530","0.00","0","0","0","268133400","0.00"
"000860","강남제비스코","주권","0","0","0","2957","0.00","0","0","0","62391200","0.00"
"035250","강원랜드","주권","20778","20572","206","466676","4.45","529985800","524693150","5292650","11915457200","4.45"
"011420","갤럭시아에스엠","주권","0","0","0","68173","0.00","0","0","0","127589575","0.00"
"002100","경농","주권","0","0","0","33476","0.00","0","0","0","364463500","0.00"
"009450","경동나비엔","주권","80","0","80","18510","0.43","3076000","0","3076000","714957400","0.43"
"267290","경동도시가스","주권","0","0","0","10247","0.00","0","0","0","210698500","0.00"
"012320","경동인베스트","주권","0","0","0","961","0.00","0","0","0","32507650","0.00"
"000050","경방","주권","0","0","0","663","0.00","0","0","0","8135600","0.00"
"214390","경보제약","주권","0","0","0","15630","0.00","0","0","0","112131250","0.00"
"012610","경인양행","주권","0","0","0","109948","0.00","0","0","0","602565950","0.00"
"009140","경인전자","주권","0","0","0","2007","0.00","0","0","0","51518250","0.00"
"013580","계룡건설","주권","4","0","4","29650","0.01","100000","0","100000","748749150","0.01"
"012200","계양전기","주권","0","0","0","0","0.00","0","0","0","0","0.00"
"012205","계양전기우","주권","0","0","0","0","0.00","0","0","0","0","0.00"
"002140","고려산업","주권","0","0","0","5371768","0.00","0","0","0","36919671680","0.00"
"010130","고려아연","주권","1945","1102","843","35500","5.48","907731500","513586500","394145000","16592616000","5.47"
"002240","고려제강","주권","763","0","763","18855","4.05","15589950","0","15589950","387587250","4.02"
"009290","광동제약","주권","4","0","4","47682","0.01","25400","0","25400","302810170","0.01"
"017040","광명전기","주권","1","0","1","2057061","0.00","3200","0","3200","6571157145","0.00"
"017900","광전자","주권","0","0","0","43313","0.00","0","0","0","98566220","0.00"
"037710","광주신세계","주권","1","0","1","6828","0.01","33300","0","33300","227197450","0.01"
"030610","교보증권","주권","0","0","0","21718","0.00","0","0","0","137647410","0.00"
"339770","교촌에프앤비","주권","0","0","0","16599","0.00","0","0","0","195284150","0.00"
"007690","국도화학","주권","312","0","312","30382","1.03","15246500","0","15246500","1499112900","1.02"
"005320","국동","주권","1","0","1","2256032","0.00","1815","0","1815","4118510815","0.00"
"00532219","국동 9WR","신주인수권증권","0","0","0","258","0.00","0","0","0","290415","0.00"
"001140","국보","주권","0","0","0","954935","0.00","0","0","0","1148571965","0.00"
"002720","국제약품","주권","0","0","0","2610189","0.00","0","0","0","15313065620","0.00"
"083420","그린케미칼","주권","0","0","0","57785","0.00","0","0","0","411372080","0.00"
"014530","극동유화","주권","0","0","0","108307","0.00","0","0","0","391186565","0.00"
"014280","금강공업","주권","0","0","0","172939","0.00","0","0","0","1234770910","0.00"
"014285","금강공업우","주권","0","0","0","1428","0.00","0","0","0","18360600","0.00"
"008870","금비","주권","1","0","1","758","0.13","71100","0","71100","53844800","0.13"
"001570","금양","주권","1","0","1","1793487","0.00","5190","0","5190","9231043285","0.00"
"002990","금호건설","주권","1568","0","1568","44480","3.53","12561800","0","12561800","357246320","3.52"
"002995","금호건설우","주권","0","0","0","10","0.00","0","0","0","265600","0.00"
"011780","금호석유","주권","23235","23070","165","80721","28.78","3212300500","3189516500","22784000","11181050500","28.73"
"011785","금호석유우","주권","0","0","0","6480","0.00","0","0","0","567889500","0.00"
"214330","금호에이치티","주권","1206","0","1206","792673","0.15","1560600","0","1560600","1028002715","0.15"
"21433218","금호에이치티 1WR","신주인수권증권","0","0","0","38","0.00","0","0","0","115400","0.00"
"001210","금호전기","주권","4","0","4","501197","0.00","5600","0","5600","696776795","0.00"
"00121218","금호전기 31WR","신주인수권증권","0","0","0","1811","0.00","0","0","0","530836","0.00"
"073240","금호타이어","주권","21029","19405","1624","256432","8.20","73726845","68078255","5648590","899275130","8.20"
"092440","기신정기","주권","2","0","2","15282","0.01","6970","0","6970","53375790","0.01"
"000270","기아","주권","16923","6514","10409","1079764","1.57","1304145100","501922100","802223000","83160992300","1.57"
"024110","기업은행","주권","90991","82769","8222","993708","9.16","840067150","764101520","75965630","9161783210","9.17"
"013700","까뮤이앤씨","주권","1","0","1","1206276","0.00","1920","0","1920","2339615100","0.00"
"004540","깨끗한나라","주권","0","0","0","227486","0.00","0","0","0","789957025","0.00"
"004545","깨끗한나라우","주권","0","0","0","854","0.00","0","0","0","16343600","0.00"
"72501773","나인트리부동산(종A1)","수익증권","0","0","0","0","0.00","0","0","0","0","0.00"
"72502773","나인트리부동산(종C-i)","수익증권","0","0","0","0","0.00","0","0","0","0","0.00"
"001260","남광토건","주권","0","0","0","133191","0.00","0","0","0","1535005900","0.00"
"008350","남선알미늄","주권","1191","0","1191","777999","0.15","2536830","0","2536830","1659674150","0.15"
"008355","남선알미우","주권","0","0","0","3965","0.00","0","0","0","87502500","0.00"
"004270","남성","주권","0","0","0","66682","0.00","0","0","0","151743135","0.00"
"003920","남양유업","주권","0","0","0","631","0.00","0","0","0","233392500","0.00"
"003925","남양유업우","주권","0","0","0","76","0.00","0","0","0","15068000","0.00"
"025860","남해화학","주권","11","0","11","459397","0.00","106150","0","106150","4430881090","0.00"
