,종목명,종가,거래량_합계,거래대금_합계,years,month,시가총액,상장주식수,kospi벤치마크지수,시가총액대비거래대금,소외주,종목코드_y,PBR,업종명,업종월평균PBR,LOW P/B
139,제주은행,4430,14107,62903145,2012,10,98030468820,22128774,0.38447671717691295,0.0641669327477159,so,006220,0.4,은행,0.495,LOW
663,대림통상,4450,25502,112727785,2019,1,67751250000,15225000,0.40325525649193034,0.16638480470840022,so,006570,0.61,기계,1.1993548387096775,LOW
155,제주은행,4450,9591,42296010,2012,11,98473044300,22128774,0.3935360244208503,0.04295186596561837,so,006220,0.4,은행,0.48000000000000004,LOW
131,제주은행,4460,22163,99312880,2012,9,98694332040,22128774,0.46083124214567206,0.10062673098567534,so,006220,0.4,은행,0.5,LOW
561,대림통상,4475,20808,101050355,2018,6,68131875000,15225000,0.47096295223757056,0.14831582867783985,so,006570,0.62,기계,1.2961290322580645,LOW
393,대원강업,4500,237441,1067701170,2016,2,279000000000,62000000,0.3835927062329506,0.3826885913978495,so,000430,0.67,운수장비,1.0668888888888892,LOW
117,제주은행,4510,8296,37323235,2012,8,99800770740,22128774,0.3945662995313595,0.037397742245131683,so,006220,0.4,은행,0.495,LOW
259,흥국화재,4525,86820,386621650,2013,10,290697968625,64242645,0.3568913321082163,0.1329977129970046,so,000540,0.8,보험,0.9540000000000003,LOW
544,SJM홀딩스,4535,69128,306367400,2018,4,67725726280,14934008,0.4763980008007101,0.45236487938627395,so,025530,0.51,유통업,1.3889999999999998,LOW
760,새론오토모티브,4550,74948,341958390,2020,1,87360000000,19200000,0.434462552200731,0.391435885989011,so,075180,0.39,운수장비,0.7715686274509805,LOW
395,대원강업,4575,166317,758695525,2016,3,283650000000,62000000,0.35411076437605365,0.26747594747047415,so,000430,0.68,운수장비,1.0851111111111111,LOW
227,흥국화재,4600,181480,867919000,2013,8,295516167000,64242645,0.34572989982408203,0.29369594523740555,so,000540,0.81,보험,0.924,LOW
387,대원강업,4600,220334,1034692000,2016,1,285200000000,62000000,0.39801257516456234,0.3627952314165498,so,000430,0.69,운수장비,1.0504444444444443,LOW
109,제주은행,4600,22402,103286915,2012,7,101792360400,22128774,0.3886272337776552,0.10146823847499659,so,006220,0.41,은행,0.505,LOW
586,NPC,4615,39595,179603590,2018,8,169462800000,36720000,0.3420772860559629,0.10598408028192619,so,004250,0.77,화학,1.7758888888888884,LOW
236,흥국화재,4640,69862,321640650,2013,9,298085872800,64242645,0.38404992695172885,0.10790201057793974,so,000540,0.82,보험,0.944,LOW
404,대원강업,4670,130298,629809110,2016,6,289540000000,62000000,0.415002226785942,0.2175205878289701,so,000430,0.69,운수장비,1.0657777777777777,LOW
575,대림통상,4670,15530,69982435,2018,7,71100750000,15225000,0.3608696272916866,0.09842714036068535,so,006570,0.64,기계,1.281935483870968,LOW
177,제주은행,4675,73138,338742600,2013,1,103452018450,22128774,0.3861445380386744,0.3274393337851786,so,006220,0.42,은행,0.51,LOW
584,대림통상,4680,14760,68531890,2018,8,71253000000,15225000,0.3420772860559629,0.096181059043128,so,006570,0.64,기계,1.2845161290322578,LOW
372,대원강업,4700,287610,1362571120,2015,8,291400000000,62000000,0.47703044189566235,0.46759475634866166,so,000430,0.7,운수장비,1.0545238095238096,LOW
88,제주은행,4710,5980,28264100,2012,6,104226525540,22128774,0.3825025398805935,0.0271179527990241,so,006220,0.42,은행,0.525,LOW
604,대림통상,4760,7288,34408805,2018,9,72471000000,15225000,0.3931282133529395,0.04747941245463703,so,006570,0.66,기계,1.3112903225806452,LOW
327,도화엔지니어링,4795,44386,213090825,2014,6,161687400000,33720000,0.3295624445893028,0.1317918557661265,so,002150,0.74,서비스업,2.734473684210526,LOW
70,제주은행,4800,17314,85133630,2012,5,106218115200,22128774,0.43191862856455754,0.08014982175093237,so,006220,0.43,은행,0.51,LOW
407,대원강업,4805,138969,663513365,2016,7,297910000000,62000000,0.3316694524569565,0.22272275687288107,so,000430,0.71,운수장비,1.1276086956521734,LOW
429,태경산업,4845,81024,396955420,2016,10,141613293750,29228750,0.3457930228001626,0.2803094324610326,so,015890,0.78,화학,1.8474698795180726,LOW
318,도화엔지니어링,4845,71496,347254930,2014,5,163373400000,33720000,0.30803690559940516,0.21255291865138387,so,002150,0.75,서비스업,2.7334210526315785,LOW
401,대원강업,4865,235716,1170014845,2016,5,301630000000,62000000,0.4051403604564593,0.3878973726088254,so,000430,0.72,운수장비,1.0726666666666667,LOW
385,대원강업,4895,183881,913689730,2015,11,303490000000,62000000,0.3716227130770986,0.3010609015124057,so,000430,0.73,운수장비,1.1070454545454547,LOW
333,도화엔지니어링,4915,66744,327209015,2014,7,165733800000,33720000,0.3328455432516549,0.1974304668088223,so,002150,0.76,서비스업,2.7044736842105266,LOW
543,대림통상,4950,58586,289115985,2018,4,75363750000,15225000,0.4763980008007101,0.38362738717221473,so,006570,0.65,기계,1.586785714285714,LOW
398,대원강업,4960,204718,970648635,2016,4,307520000000,62000000,0.3719298613107208,0.3156375634105099,so,000430,0.74,운수장비,1.1137777777777782,LOW
29,제주은행,4980,42606,215821610,2012,2,110201294520,22128774,0.5984448603881,0.1958430805554933,so,006220,0.47,은행,0.635,LOW
550,대림통상,4995,64066,307562515,2018,5,76048875000,15225000,0.5506904697166293,0.40442743564582645,so,006570,0.69,기계,1.465,LOW
42,제주은행,5000,28206,142115650,2012,4,110643870000,22128774,0.43221843147297445,0.1284442147585763,so,006220,0.45,은행,0.53,LOW
218,제주은행,5000,54951,275697550,2013,7,110643870000,22128774,0.33432385587934893,0.2491756208455109,so,006220,0.4,은행,0.465,LOW
36,제주은행,5030,51800,261731650,2012,3,111307733220,22128774,0.4621616831907152,0.23514237728899462,so,006220,0.47,은행,0.655,LOW
350,하이트론,5130,13003,65888470,2014,12,28372670550,5530735,0.32511319304829495,0.23222512623155245,so,019490,0.56,전기전자,1.0533333333333335,LOW
528,대림통상,5150,25454,132485535,2018,2,78408750000,15225000,0.42888501308551624,0.1689677937730164,so,006570,0.67,기계,1.5219230769230772,LOW
12,제주은행,5160,34839,176303810,2012,1,114184473840,22128774,0.49998729901411776,0.15440261190592705,so,006220,0.48,은행,0.63,LOW
399,태경산업,5180,93354,484713660,2016,4,151404925000,29228750,0.3719298613107208,0.32014391870013476,so,015890,0.78,화학,2.2339759036144575,LOW
340,하이트론,5250,19596,101237580,2014,10,29036358750,5530735,0.3845987664393651,0.3486579735139827,so,019490,0.58,전기전자,1.0528571428571427,LOW
668,새론오토모티브,5300,38738,204169280,2019,2,101760000000,19200000,0.38535725763955403,0.20063805031446544,so,075180,0.46,운수장비,0.7971428571428574,LOW
491,대림통상,5410,39683,208459790,2017,9,82367250000,15225000,0.3414143689052164,0.2530857713472284,so,006570,0.71,기계,1.5146153846153847,LOW
537,NPC,5420,119234,649222340,2018,4,199022400000,36720000,0.4763980008007101,0.326205663282123,so,004250,0.93,화학,2.147441860465116,LOW
508,NPC,5460,126846,741420400,2017,11,200491200000,36720000,0.3812153006835114,0.3698019663705938,so,004250,0.93,화학,1.9811764705882347,LOW
500,대림통상,5470,24226,127460390,2017,10,83280750000,15225000,0.3839944167689832,0.1530490419454676,so,006570,0.72,기계,1.5100000000000002,LOW
512,대림통상,5500,36422,193037720,2017,12,83737500000,15225000,0.3441316688272109,0.23052720704582774,so,006570,0.72,기계,1.5092307692307694,LOW
527,NPC,5600,59151,333715130,2018,2,205632000000,36720000,0.42888501308551624,0.16228754765795206,so,004250,0.96,화학,1.9010714285714279,LOW
474,대림통상,5620,50604,290135070,2017,6,85564500000,15225000,0.399061063237336,0.339083463352208,so,006570,0.73,기계,1.5992307692307692,LOW
481,대림통상,5680,30024,166778510,2017,7,86478000000,15225000,0.33874116330043946,0.19285657623904345,so,006570,0.74,기계,1.6053846153846156,LOW
504,제일연마,5810,32820,188832260,2017,10,58100000000,10000000,0.3839944167689832,0.325012495697074,so,001560,0.83,비금속광물,0.9974999999999999,LOW
335,하이트론,5850,15455,91651230,2014,7,32354799750,5530735,0.3328455432516549,0.283269347077322,so,019490,0.64,전기전자,1.1421428571428571,LOW
445,대림통상,5850,35049,208084240,2017,1,89066250000,15225000,0.3084809585158082,0.2336286079182631,so,006570,0.75,기계,1.3066666666666666,LOW
450,대림통상,5910,41156,240471730,2017,2,89979750000,15225000,0.33287206663075286,0.26725094257319004,so,006570,0.76,기계,1.3277777777777777,LOW
324,하이트론,6000,17160,100098300,2014,5,33184410000,5530735,0.30803690559940516,0.3016425484135472,so,019490,0.66,전기전자,1.2133333333333332,LOW
501,NPC,6030,109177,656212180,2017,10,221421600000,36720000,0.3839944167689832,0.2963632184032633,so,004250,1.03,화학,1.8470588235294114,LOW
434,대림통상,6100,35548,221225320,2016,11,92872500000,15225000,0.3511889994763951,0.2382032571536246,so,006570,0.78,기계,1.2396296296296294,LOW
466,대림통상,6100,51120,303015170,2017,5,92872500000,15225000,0.41376125228155375,0.3262700691808662,so,006570,0.8,기계,1.5928,LOW
14,동방아그로,6170,24570,151993880,2012,1,84020450090,13617577,0.49998729901411776,0.18090105425189826,so,007590,0.7,화학,1.586027397260274,LOW
332,하이트론,6170,17071,100117930,2014,6,34124634950,5530735,0.3295624445893028,0.2933890139680454,so,019490,0.68,전기전자,1.163571428571429,LOW
182,동방아그로,6230,9431,58698710,2013,2,84837504710,13617577,0.3204307511804749,0.06918957623830377,so,007590,0.75,화학,1.4975324675324682,LOW
201,동방아그로,6250,25885,161514750,2013,4,85109856250,13617577,0.38786043933511843,0.18977208647323968,so,007590,0.75,화학,1.4116666666666664,LOW
178,동방아그로,6270,9221,57552200,2013,1,85382207790,13617577,0.3861445380386744,0.0674053781105676,so,007590,0.76,화학,1.43987012987013,LOW
601,넥센,6290,207090,1291102020,2018,9,336791615330,53543977,0.3931282133529395,0.3833533737872108,so,005720,0.39,화학,1.74488888888889,LOW
299,동방아그로,6300,31570,199122200,2014,2,85790735100,13617577,0.32358909492292,0.23210221915909426,so,007590,0.76,화학,1.3805128205128194,LOW
419,NPC,6320,91898,589350560,2016,9,232070400000,36720000,0.3494295089256394,0.25395335208626346,so,004250,1.27,화학,2.0190361445783136,LOW
314,동방아그로,6320,31441,198913540,2014,4,86063086640,13617577,0.30131362900403463,0.23112526841159087,so,007590,0.75,화학,1.3016455696202531,LOW
