,종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수,years,month,상장주식수대비거래량,시가총액대비거래대금
154,077970,STX엔진,9850,-50,-0.51,9900,9960,9800,16749,165480290,226637704400,23008904,2017,10,0.07279355852847227,0.07301533980768647
155,011280,태림포장,2300,25,1.1,2275,2350,2220,51646,116800520,162853662000,70805940,2017,10,0.0729402081237817,0.07172115048908143
156,025540,한국단자,70000,-400,-0.57,70200,70800,69600,7631,534828800,729050000000,10415000,2017,10,0.07326932309169466,0.07335968726424799
157,002920,유성기업,3715,20,0.54,3700,3715,3680,19200,71153660,96394962500,25947500,2017,10,0.07399556797379324,0.07381470790032207
158,000520,삼일제약,7500,-30,-0.4,7450,7550,7400,4144,30874440,41250000000,5500000,2017,10,0.07534545454545455,0.07484712727272727
159,029530,신도리코,63000,-1300,-2.02,64200,64200,63000,7615,481731600,635041827000,10080029,2017,10,0.07554541757766768,0.07585824736549203
160,012600,청호컴넷,2865,-45,-1.55,2905,2940,2830,6364,18273770,23998248480,8376352,2017,10,0.07597579471349819,0.07614626548778863
161,017940,E1,57500,500,0.88,57000,57600,56400,5224,299193200,394450000000,6860000,2017,10,0.07615160349854228,0.07585072886297375
162,005810,풍산홀딩스,54300,300,0.56,53700,55000,53300,6025,326020100,425449568100,7835167,2017,10,0.07689689319959613,0.07662955246516326
163,001560,제일연마,5810,0,0.0,5810,5900,5660,7777,44604520,58100000000,10000000,2017,10,0.07776999999999999,0.07677197934595524
164,003240,태광산업,1141000,3000,0.26,1138000,1155000,1130000,872,995236000,1270389400000,1113400,2017,10,0.07831866355308065,0.07834101890333782
165,026960,동서,27500,-500,-1.79,27950,28100,27500,78154,2171584550,2741750000000,99700000,2017,10,0.07838916750250752,0.0792043238807331
166,033660,아주캐피탈,7410,180,2.49,7440,7440,7270,46000,339618000,426415044900,57545890,2017,10,0.07993620395826705,0.07964493843777133
167,000700,유수홀딩스,6490,-20,-0.31,6550,6550,6410,20872,134711570,169011359880,26041812,2017,10,0.08014803270985905,0.0797056304946879
168,130660,한전산업,4220,20,0.48,4190,4220,4175,26500,111310870,137572000000,32600000,2017,10,0.08128834355828221,0.08091099206233826
169,026890,디피씨,4070,5,0.12,4020,4075,3995,34080,137520410,169630172250,41678175,2017,10,0.0817694152874976,0.08107072472774665
170,019170,신풍제약,6120,20,0.33,6070,6130,6070,44012,268326580,324268138800,52984990,2017,10,0.08306503407851923,0.0827483640523489
171,001685,대상우,12450,-50,-0.4,12400,12500,12400,1139,14146100,17059276350,1370223,2017,10,0.08312515554037554,0.08292321262501853
