회사명,거래소코드,회계년도,매출총이익(손실)(IFRS연결),매출액(수익)(*)(IFRS연결),매출총이익(손실)(IFRS),매출액(수익)(*)(IFRS),매출액총이익률
(주)다나와,119860,16-Dec,64407865,64407865,32392617,32392617,100
(주)다나와,119860,17-Dec,107606286,107606286,42400067,42400067,100
(주)다날,64260,16-Dec,133477893,133477893,132304954,132304954,100
(주)다날,64260,17-Dec,172882038,172882038,156323605,156323605,100
(주)다산네트웍스,39560,16-Dec,61137384,222842801,8114666,28309465,27.43520712
(주)다산네트웍스,39560,17-Dec,104896603,307090231,11247827,29756967,34.15823508
(주)다우데이타,32190,16-Dec,551745201,1378367701,13791063,107492139,40.02888348
(주)다우데이타,32190,17-Dec,680117414,1614385776,21376911,151156995,42.12855589
(주)다원시스,68240,16-Dec,22977184,74193619,22368687,72591838,30.96921853
(주)다원시스,68240,17-Dec,36315744,111462046,37797487,115527028,32.58126448
(주)대동스틸,48470,16-Dec,7502671,68177746,7502671,68177746,11.00457472
(주)대동스틸,48470,17-Dec,9323929,90505698,9323929,90505698,10.30203535
(주)대륙제관,4780,16-Dec,31686064,186222141,31686064,186222141,17.01519692
(주)대륙제관,4780,17-Dec,25987105,197112543,25987105,197112543,13.18389211
(주)대림제지,17650,16-Dec,11420863,67430955,11420863,67430955,16.93712183
(주)대림제지,17650,17-Dec,13767844,118019206,9902448,90533322,11.66576566
(주)대명소노시즌,7720,16-Dec,44258197,217451478,35051091,206149572,20.3531369
(주)대명소노시즌,7720,17-Dec,43001702,235523369,38460084,219151391,18.25793431
(주)대성미생물연구소,36480,16-Dec,10218629,30801319,10218629,30801319,33.17594613
(주)대성미생물연구소,36480,17-Dec,7227554,24043374,7227554,24043374,30.06048153
(주)대성엘텍,25440,16-Dec,20050022,366692739,17551322,352277390,5.467799023
(주)대성엘텍,25440,17-Dec,14947680,350575739,13865094,344500547,4.263751976
(주)대성파인텍,104040,16-Dec,8713598,47677369,8532917,46924145,18.27617208
