회사명,거래소코드,회계년도,장기차입금(*)(IFRS),단기차입금(*)(IFRS),유동성장기부채(*)(IFRS),자산(*)(IFRS),장기차입금(*)(IFRS연결),단기차입금(*)(IFRS연결),유동성장기부채(*)(IFRS연결),자산(*)(IFRS연결),차입금의존도2019
(주)지엔코,65060,19-Dec,420000,40131735,0,172054008,420000,38012689,0,248155717,0.154873277
(주)지유온,111820,19-Dec,0,1849872,0,25081604,0,1849872,0,25081604,0.073754135
(주)지티지웰니스,219750,19-Dec,7410000,5991058,762,46220807,7410000,5991058,762,40400462,0.331724424
(주)진로발효,18120,19-Dec,210000,0,42000,89229457,210000,350000,42000,91083610,0.006609312
(주)진매트릭스,109820,19-Dec,0,3600000,0,28455836,0,3600000,0,28455836,0.126511834
(주)진바이오텍,86060,19-Dec,0,0,0,39577106,9549043,2738115,0,67932582,0.180872825
(주)진성티이씨,36890,19-Dec,2942460,4000000,2039140,180904124,12866814,48953971,4833376,275526028,0.241916023
(주)차바이오텍,85660,19-Dec,0,0,0,320192650,129345415,10317350,2320084,1162923422,0.122091314
(주)창해에탄올,4650,19-Dec,0,35833189,0,158091079,5352778,46788145,1511659,193042599,0.277931308
(주)천보,278280,19-Dec,0,0,0,210937373,0,0,0,235236916,0
(주)체리부로,66360,19-Dec,9814543,71348134,6732012,217017651,36960436,93898134,12400511,280388592,0.510930491
(주)초록뱀미디어,47820,19-Dec,0,0,0,180301470,0,0,0,186524565,0
(주)초록뱀컴퍼니,52300,19-Dec,14694825,0,463594,141477158,14694825,1500000,463594,142431125,0.116957716
(주)칩스앤미디어,94360,19-Dec,0,0,0,36098846,0,0,0,35860269,0
(주)카나리아바이오,16790,19-Dec,1630300,24774801,0,97377192,1630300,24774801,0,97377192,0.271163097
(주)카스,16920,19-Dec,0,34814281,5912000,130119299,2996126,37627750,5912000,129321340,0.359846844
(주)카이노스메드,284620,19-Dec,,,,,0,0,0,0,#DIV/0!
(주)캐리소프트,317530,19-Dec,0,1000000,0,21784622,0,1000000,0,21133741,0.047317699
(주)캐스텍코리아,71850,19-Dec,12049889,62536871,15845293,259233643,14372204,95305105,15845293,292991021,0.428417914
(주)캠시스,50110,19-Dec,3570000,36512245,5080000,318210958,3570000,68825539,5080000,432593959,0.179095286
(주)컴투스,78340,19-Dec,0,0,0,993733892,0,0,0,1004978011,0
(주)컴투스홀딩스,63080,19-Dec,39651967,16000000,34666660,198900359,39651967,21789000,34666660,399323374,0.240676187
(주)케스피온,79190,19-Dec,1260660,3272370,4006584,53059247,1260660,4200796,4411814,49571438,0.199172556
(주)케어랩스,263700,19-Dec,14000000,0,0,118810469,14337500,767250,125000,127113197,0.119812501
(주)케어젠,214370,19-Dec,0,0,0,231762639,0,0,0,231847041,0
(주)케이비지,318000,19-Dec,0,0,0,28156723,0,0,0,28156723,0
(주)케이사인,192250,19-Dec,0,0,0,64068712,0,435000,0,66893962,0.006502829
(주)케이씨씨건설,21320,19-Dec,0,117200000,49967003,1039194851,0,117200000,49967003,1039194851,0.160862039
(주)케이씨아이,36670,19-Dec,0,4000000,0,78286906,0,4000000,0,78286906,0.051094113
(주)케이씨에스,115500,19-Dec,0,0,0,35524836,0,0,0,35524836,0
(주)케이씨티,89150,19-Dec,0,0,12000000,58441872,0,0,12000000,58441872,0.205332232
(주)케이씨피드,25880,19-Dec,7176503,23717795,8403234,99506267,9126203,23717795,8490594,101474747,0.407338705
(주)케이아이엔엑스,93320,19-Dec,3737174,0,0,92556339,4084818,0,0,104862166,0.038954164
(주)케이에스피,73010,19-Dec,0,15500000,0,44248244,0,15500000,0,44248244,0.350296387
(주)케이에이치바텍,60720,19-Dec,1666664,21900000,1666664,223517760,13584665,25660077,16987083,283444245,0.198387605
(주)케이엑스이노베이션,122450,19-Dec,0,44500000,2047021,182038882,50505471,69167878,1873972,747993901,0.162497743
(주)케이엑스하이텍,52900,19-Dec,140000,2000000,56000,73508429,205718,2167878,56000,75446942,0.03220271
(주)케이엔더블유,105330,19-Dec,3050000,5000000,1350000,39845942,3050000,7742828,2309148,67088750,0.19529319
(주)케이엔엔,58400,19-Dec,0,0,0,207886867,0,0,0,210159420,0
(주)케이엔제이,272110,19-Dec,5440000,11185000,1596806,57901181,5440000,11185000,1613261,58574248,0.311369956
(주)케이엘넷,39420,19-Dec,0,0,0,44695095,0,0,0,44863627,0
(주)케이엠,83550,19-Dec,3368620,20300000,1003366,108070064,3368620,20300000,1302604,132219693,0.188861609
(주)케이엠더블유,32500,19-Dec,0,20100000,44790559,394225538,4816811,42400715,47665889,427046658,0.222185125
(주)케이지모빌리언스,46440,19-Dec,0,20000000,100000000,388597400,6960000,37800000,39775622,450696702,0.187566542
(주)케이지이니시스,35600,19-Dec,0,20000000,0,551916069,133360000,64300000,122850942,1278010860,0.250788903
(주)케이티서브마린,60370,19-Dec,0,0,3473400,120947251,0,0,3473400,120947251,0.028718305
(주)케이티알파,36030,19-Dec,0,0,0,279817890,0,0,0,279817890,0
(주)케이프,64820,19-Dec,23000000,16000000,8000000,223469194,103015220,16000000,8000000,1949680859,0.065146672
(주)케이피에스,256940,19-Dec,0,5000000,460000,38681294,0,5000000,460000,38650675,0.141265321
(주)케이피에프,24880,19-Dec,0,98117111,13009815,369936102,25509825,124281040,32376909,415789843,0.438124637
(주)케이피엠테크,42040,19-Dec,8009804,2842582,2632398,148280154,8009804,17072581,2632398,162104920,0.170968179
(주)케이피티유,54410,19-Dec,0,13000000,125000,62232910,0,13000000,125000,62232910,0.210901274
(주)케일럼,258610,19-Dec,8130000,4513600,0,48622782,8130000,4513600,0,48622782,0.260034483
(주)켐온,217600,19-Dec,0,0,0,44622023,0,0,0,44622023,0
(주)켐트로닉스,89010,19-Dec,32299844,56708950,5693320,223363903,38368483,84004912,7430788,294088094,0.441378572
(주)켐트로스,220260,19-Dec,4868100,0,3447240,68065771,4868100,0,3447240,68065771,0.12216625
(주)코너스톤네트웍스,33110,19-Dec,0,2080373,0,64021459,1943000,5867180,0,79716591,0.097974335
(주)코다코,46070,19-Dec,175341696,900000,194135,302184821,192708696,32392160,194135,330178369,0.682343279
(주)코데즈컴바인,47770,19-Dec,0,0,0,44274213,0,0,9360000,71633747,0.130664671
(주)코디,80530,19-Dec,10500000,0,25980,70681476,10500000,2879569,210538,75932355,0.178976498
(주)코디엠,224060,19-Dec,15000,1500000,7404,99756487,15000,4277059,7404,117030999,0.036737813
(주)코렌텍,104540,19-Dec,63000,10055875,5689612,60803833,63000,10055875,5771969,62778527,0.253125468
(주)코리아나화장품,27050,19-Dec,4795454,7000000,2657405,118570683,4795454,7000000,2914169,122298260,0.120276634
(주)코리아센터,290510,19-Dec,24500000,32495000,4150000,289601314,26889415,32495000,6712051,344866909,0.191657895
(주)코리아에스이,101670,19-Dec,0,0,0,31419853,0,0,0,35532474,0
(주)코맥스,36690,19-Dec,0,6396737,0,110227306,0,6396737,0,110179684,0.058057318
(주)코메론,49430,19-Dec,0,47626,0,139321513,2302777,62465,261758,153773823,0.017083532
(주)코미코,183300,19-Dec,19000000,15396000,0,219618361,69006912,29240408,389909,292076428,0.337710337
(주)코미팜,41960,19-Dec,7049760,15590000,731090,117266964,7049760,15590000,731090,125644473,0.186007784
(주)코세스,89890,19-Dec,10633333,3500000,2000000,54005557,10633333,3500000,2000000,54005557,0.298734684
(주)코센,9730,19-Dec,442440,11199208,424200,85173019,554760,12209208,811880,84205795,0.161222253
(주)코스나인,82660,19-Dec,527240,8205332,16875457,51820707,527240,8205332,16875457,51820707,0.494165952
(주)코스메카코리아,241710,19-Dec,25000000,27000000,0,236253555,34609034,36786936,16104082,350909520,0.249352175
(주)코스온,69110,19-Dec,2000000,11687254,487839,199014917,14373425,22934777,2048029,239961867,0.164010355
(주)코썬바이오,204990,19-Dec,0,2600000,251898,10592988,0,4980000,614502,14760523,0.379017871
(주)코아시아,45970,19-Dec,14672600,16100000,10672640,184988248,28527209,58904315,16109151,326298702,0.317318685
(주)코아시아옵틱스,196450,19-Dec,1053000,3000000,1975852,98098809,2239568,17393066,4195580,114274762,0.208516855
(주)코엔텍,29960,19-Dec,18550170,0,3839480,198228800,18550170,0,3839480,198228800,0.112948522
(주)코원플레이,56000,19-Dec,0,0,0,19803544,0,0,0,21161057,0
(주)코윈테크,282880,19-Dec,0,0,0,114961957,0,0,0,115217985,0
(주)코이즈,121850,19-Dec,0,8642500,0,31624080,4087000,10675697,0,41096583,0.359219573
(주)코콤,15710,19-Dec,0,0,0,147421473,0,0,0,147422080,0
(주)코텍,52330,19-Dec,0,0,0,350021731,0,0,0,353091372,0
(주)코퍼스코리아,322780,19-Dec,,,,,0,0,0,0,#DIV/0!
(주)코프라,126600,19-Dec,0,0,5359302,127804904,0,8862766,5359302,156410475,0.090927849
(주)큐로컴,40350,19-Dec,0,16100000,0,86436445,1300000,24800000,0,96606780,0.270167373
(주)큐로홀딩스,51780,19-Dec,1441031,1037050,0,41168709,5881257,1000000,0,49234096,0.139766088
(주)큐리언트,115180,19-Dec,0,0,0,20513537,0,0,0,20513537,0
(주)큐브엔터테인먼트,182360,19-Dec,0,0,0,31782787,0,0,0,32002669,0
(주)큐에스아이,66310,19-Dec,0,0,0,58836161,0,0,0,58462417,0
(주)크레버스,96240,19-Dec,0,14000000,0,105364226,0,38030000,2750000,193391054,0.210868079
(주)크리스에프앤씨,110790,19-Dec,0,18370810,0,276302179,0,18868030,0,277284707,0.068045693
(주)크린앤사이언스,45520,19-Dec,31910290,9811676,2146937,115859721,31910290,10506356,2166705,115940770,0.384535578
(주)클라우드에어,36170,19-Dec,0,0,0,101412887,0,0,0,102245082,0
(주)클래시스,214150,19-Dec,0,0,9600000,113571284,0,0,9600000,113657441,0.084464333
(주)클리오,237880,19-Dec,0,0,0,231175716,0,0,0,236650518,0
(주)키이스트,54780,19-Dec,0,0,0,70753806,0,0,0,108361218,0
(주)타이거일렉,219130,19-Dec,0,12000000,0,60479814,0,12000000,0,60479814,0.198413309
(주)탑엔지니어링,65130,19-Dec,2375000,31876993,625000,304949490,4875000,81387093,625000,596075358,0.145765283
(주)탑코미디어,134580,19-Dec,0,0,0,29557322,0,0,0,29557322,0
(주)태광,23160,19-Dec,0,0,0,473114219,0,0,0,478658613,0
(주)태성,323280,19-Dec,,,,,0,0,0,0,#DIV/0!
(주)태양,53620,19-Dec,897960,0,2099060,178743066,897960,0,2099060,187680294,0.015968752
(주)태웅,44490,19-Dec,230000000,44984878,10000000,993302352,230000000,44984878,10000000,993302352,0.286906477
(주)태웅로직스,124560,19-Dec,0,3000000,0,84472369,0,3184800,0,87503873,0.036396103
(주)테라젠이텍스,66700,19-Dec,4607370,5600000,4775620,197670323,7577370,17788470,6775620,241498170,0.13309194
(주)테스,95610,19-Dec,0,10000000,0,247930312,0,10000000,0,247901531,0.040338597
(주)테크윙,89030,19-Dec,31496560,48996647,9996614,345583053,31496560,59496647,12382234,379323830,0.272525565
(주)텔레칩스,54450,19-Dec,0,0,0,155502638,0,0,0,155740434,0
(주)텔레필드,91440,19-Dec,0,2863501,4871798,48812086,0,5978101,5023335,58220186,0.18896257
(주)텔콘알에프제약,200230,19-Dec,1140000,0,595234,136705017,1140000,24554,754864,129486701,0.014823283
(주)토박스코리아,215480,19-Dec,0,0,0,32130003,0,0,0,32130003,0
(주)토비스,51360,19-Dec,716250,13946800,343750,261353852,716250,35632629,343750,281164074,0.130502551
