,회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS),매출액(수익)(*)(IFRS연결),매출액증가율
399,(주)블루콤,33560,17-Dec,121104741,116599132,-51.17093002
400,(주)비덴트,121800,16-Dec,17053079,23993768,
401,(주)비덴트,121800,17-Dec,15823655,23931470,-0.25964242
402,(주)비보존헬스케어,82800,16-Dec,68210591,68210591,
403,(주)비보존헬스케어,82800,17-Dec,61021493,61021493,-10.53956269
404,(주)비씨월드제약,200780,16-Dec,45657696,45657696,
405,(주)비씨월드제약,200780,17-Dec,50207424,50207424,9.964865507
406,(주)비아트론,141000,16-Dec,76230822,76414019,
407,(주)비아트론,141000,17-Dec,100632690,100780806,31.88784901
408,(주)비에이치,90460,16-Dec,296715580,371953545,
409,(주)비에이치,90460,17-Dec,513248234,691341627,85.86773437
410,(주)비엔지티,32790,16-Dec,8534019,51292674,
411,(주)비엔지티,32790,17-Dec,13932664,52949862,3.230847353
412,(주)비엘,142760,16-Dec,2500747,2500747,
413,(주)비엘,142760,17-Dec,7607067,7607067,204.1917875
414,(주)비엘팜텍,65170,16-Dec,37454675,73962749,
415,(주)비엘팜텍,65170,17-Dec,42545194,83708355,13.17637072
416,(주)비엠티,86670,16-Dec,41125176,41125176,
417,(주)비엠티,86670,17-Dec,63638731,63638731,54.7439724
418,(주)비즈니스온커뮤니케이션,138580,17-Dec,13456561,13456561,
419,(주)비츠로셀,82920,16-Jun,90540215,91020079,
420,(주)비츠로셀,82920,17-Jun,101991470,105351685,15.74554335
421,(주)비츠로시스,54220,16-Mar,63540760,63540760,
422,(주)비츠로시스,54220,17-Mar,72073712,72073712,13.42909968
423,(주)비츠로테크,42370,16-Jun,103230046,103230046,
424,(주)비츠로테크,42370,17-Jun,86734828,232764175,125.4810339
425,(주)비케이홀딩스,50090,16-Dec,43031183,43031183,
426,(주)비케이홀딩스,50090,17-Dec,38071774,38071774,-11.52515142
427,(주)비트컴퓨터,32850,16-Dec,34716080,34800927,
