회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS연결),재고자산(*)(IFRS연결),매출액(수익)(*)(IFRS),재고자산(*)(IFRS),재고자산회전률2019
(주)녹십자웰빙,234690,19-Dec,66937567,11190534,66937567,11190534,5.981624023
(주)녹원씨엔아이,65560,18-Dec,76356153,7092811,31693454,3751906,10.76528798
(주)녹원씨엔아이,65560,19-Dec,62274838,7370506,30113118,3210215,8.449194397
(주)누리플랜,69140,18-Dec,47668330,2136418,31804243,326383,22.31226754
(주)누리플랜,69140,19-Dec,91289924,17805308,32924027,385355,5.127118497
(주)누리플렉스,40160,18-Dec,190385732,29010150,146182075,23926940,6.562728286
(주)누리플렉스,40160,19-Dec,147947451,21380468,100090535,17229455,6.919748015
(주)누보,332290,19-Dec,0,0,,,#DIV/0!
(주)뉴로스,126870,18-Dec,51336070,26656998,44688477,20352590,1.925800872
(주)뉴로스,126870,19-Dec,59337239,24064960,50941288,17488056,2.4657111
(주)뉴보텍,60260,18-Dec,39973362,3234436,39973362,3234436,12.35868077
(주)뉴보텍,60260,19-Dec,41769160,3903147,41769160,3903147,10.70140581
(주)뉴인텍,12340,18-Dec,50073204,8427403,44914513,5611737,5.941712293
(주)뉴인텍,12340,19-Dec,54414657,8012819,47630357,5512313,6.790950476
(주)뉴트리,270870,18-Dec,87218814,5771876,86707331,5373494,15.11099927
(주)뉴트리,270870,19-Dec,125146821,9064043,120304900,8022258,13.80695359
(주)뉴파워프라즈마,144960,18-Dec,73411628,6967931,73443751,6386704,10.53564222
(주)뉴파워프라즈마,144960,19-Dec,60165999,9579272,60212977,8613342,6.280852971
(주)뉴프렉스,85670,18-Dec,195502399,22874578,195570294,22386257,8.546710632
(주)뉴프렉스,85670,19-Dec,128250921,19143778,137368762,16135386,6.699352709
