회사명,거래소코드,회계년도,이자비용(IFRS연결),이자비용(IFRS)
(주)유비쿼스,264450,Dec-17,0,0
(주)유비쿼스홀딩스,78070,Dec-17,0,0
(주)유성티엔에스,24800,Dec-17,6070523,5709191
(주)유신,54930,Dec-17,353769,353769
(주)유쎌,252370,Dec-17,0,
(주)유씨아이,38340,Dec-17,616389,589807
(주)유아이디,69330,Dec-17,635436,635436
(주)유에스티,263770,Dec-17,0,
(주)유진로봇,56080,Dec-17,308653,206860
(주)유진테크,84370,Dec-17,0,0
(주)유테크,178780,Dec-17,1616639,1520028
(주)유티아이,179900,Dec-17,1064295,1064295
(주)육일씨엔에쓰,191410,Dec-17,2081707,1130863
(주)율호,72770,Dec-17,250219,250219
(주)이건홀딩스,39020,Dec-17,2748014,778864
(주)이글루코퍼레이션,67920,Dec-17,0,0
(주)이글벳,44960,Dec-17,407642,407642
(주)이노와이어리스,73490,Dec-17,141648,118891
(주)이노인스트루먼트,215790,Dec-17,388734,301389
(주)이녹스,88390,Dec-17,2642741,1740384
(주)이녹스첨단소재,272290,Dec-17,861273,860369
(주)이라이콤,41520,Dec-17,494419,62605
(주)이랜시스,264850,Dec-17,0,
(주)이랜텍,54210,Dec-17,6230056,2168885
(주)이루온,65440,Dec-17,683989,450013
(주)이매진아시아,36260,Dec-17,920354,654248
(주)이미지스테크놀로지,115610,Dec-17,0,0
(주)이브이수성,84180,Dec-17,2059800,2059800
(주)이브이첨단소재,131400,Dec-17,1572983,1329249
(주)이상네트웍스,80010,Dec-17,59452,59393
(주)이수앱지스,86890,Dec-17,707290,707290
(주)이스트소프트,47560,Dec-17,1323012,1293897
(주)이십일스토어,270020,Dec-17,0,
(주)이엔에프테크놀로지,102710,Dec-17,585865,139626
(주)이엔코퍼레이션,66980,Dec-17,1053855,668895
(주)이엘피,63760,Dec-17,42762,42762
(주)이엠네트웍스,87730,Dec-17,90334,90334
(주)이엠넷,123570,Dec-17,1330,0
(주)이엠앤아이,83470,Dec-17,1827192,1735405
(주)이엠텍,91120,Dec-17,1070265,344744
(주)이오테크닉스,39030,Dec-17,488769,384110
(주)이즈미디어,181340,Dec-17,222519,222519
(주)이지,37370,Dec-17,515128,168142
(주)이지홀딩스,35810,Dec-17,26431048,4119916
(주)이큐셀,160600,Dec-17,583282,348166
(주)이크레더블,92130,Dec-17,0,0
(주)이퓨쳐,134060,Dec-17,2,2
(주)인바디,41830,Dec-17,0,0
(주)인산가,277410,Dec-17,0,
(주)인성정보,33230,Dec-17,2630620,991047
(주)인지디스플레이,37330,Dec-17,1267939,371484
(주)인콘,83640,Dec-17,126735,126735
(주)인터로조,119610,Dec-17,71220,71220
(주)인터코스,240340,Dec-17,0,
(주)인터파크,108790,Dec-17,1361052,0
(주)인터플렉스,51370,Dec-17,3231410,3200775
(주)인텍플러스,64290,Dec-17,239514,239450
(주)인텔리안테크놀로지스,189300,Dec-17,351586,313752
(주)인트로메딕,150840,Dec-17,881069,881069
(주)인트론바이오테크놀로지,48530,Dec-17,135914,135914
(주)인포마크,175140,Dec-17,858290,848020
(주)인포바인,115310,Dec-17,5698,0
(주)인프라웨어테크놀러지,247300,Dec-17,0,
(주)인피니트헬스케어,71200,Dec-17,205906,107805
(주)일신바이오베이스,68330,Dec-17,0,0
(주)일야,58450,Dec-17,107061,107061
(주)일지테크,19540,Dec-17,6165320,1398890
(주)일진파워,94820,Dec-17,280100,3017
(주)잉크테크,49550,Dec-17,2658757,2658757
(주)자비스,254120,Dec-17,0,
(주)자비스,230400,Dec-17,0,
(주)자연과환경,43910,Dec-17,513298,270437
(주)장원테크,174880,Dec-17,796023,23571
(주)전우정밀,120780,Dec-17,0,
(주)정다운,208140,Dec-17,715134,669244
(주)정상제이엘에스,40420,Dec-17,190867,190867
(주)정원엔시스,45510,Dec-17,444034,337289
(주)제낙스,65620,Dec-17,1314440,1314440
(주)제넥신,95700,Dec-17,1106495,1106495
(주)제넨바이오,72520,Dec-17,2109094,1757941
(주)제노포커스,187420,Dec-17,103198,0
(주)제닉,123330,Dec-17,1313825,935580
(주)제로투세븐,159580,Dec-17,835416,804021
(주)제우스,79370,Dec-17,1065200,442191
(주)제이브이엠,54950,Dec-17,451978,273499
(주)제이스텍,90470,Dec-17,416643,416643
(주)제이에스티나,26040,Dec-17,602990,602990
(주)제이에스피브이,250300,Dec-17,0,
(주)제이와이피엔터테인먼트,35900,Dec-17,0,0
(주)제이웨이,58420,Dec-17,365,365
(주)제이콘텐트리,36420,Dec-17,8757921,3397114
(주)제이테크놀로지,35480,Dec-17,2998486,2998486
(주)제이티,89790,Dec-17,1138678,1138678
(주)제일바이오,52670,Dec-17,14445,14445
(주)제일테크노스,38010,Dec-17,1539974,1536840
(주)제주반도체,80220,Dec-17,2352110,1106667
(주)젬백스&카엘,82270,Dec-17,5260865,4593855
(주)젬백스링크,64800,Dec-17,7966941,2209126
(주)조이시티,67000,Dec-17,11015,8809
(주)좋은사람들,33340,Dec-17,293879,293879
(주)주노콜렉션,221670,Dec-17,0,
(주)중앙디앤엠,51980,Dec-17,307802,307802
(주)중앙백신연구소,72020,Dec-17,61056,61056
(주)중앙에너비스,440,Dec-17,345907,345907
(주)지니뮤직,43610,Dec-17,10413,10413
(주)지란지교시큐리티,208350,Dec-17,292995,267286
(주)지씨셀,144510,Dec-17,0,0
(주)지어소프트,51160,Dec-17,221661,199071
(주)지에스이,53050,Dec-17,570367,570367
(주)지에스홈쇼핑,28150,Dec-17,222666,0
(주)지엔씨에너지,119850,Dec-17,280363,280363
(주)지엔코,65060,Dec-17,1284686,1359313
(주)지유온,111820,Dec-17,446664,445696
(주)진로발효,18120,Dec-17,141552,137236
(주)진매트릭스,109820,Dec-17,97276,94057
(주)진바이오텍,86060,Dec-17,0,0
(주)진성티이씨,36890,Dec-17,719400,446709
(주)차바이오텍,85660,Dec-17,8891515,4541741
(주)창해에탄올,4650,Dec-17,4506417,1728866
(주)체리부로,66360,Dec-17,4994710,3142230
(주)초록뱀미디어,47820,Dec-17,3630770,3514982
(주)초록뱀이앤엠,131100,Dec-17,1862681,1640149
(주)초록뱀컴퍼니,52300,Dec-17,2073504,2019895
(주)칩스앤미디어,94360,Dec-17,0,0
(주)카스,16920,Dec-17,2845758,2472074
(주)카이노스메드,220250,Dec-17,116277,116277
(주)캐스텍코리아,71850,Dec-17,4246497,3792384
(주)캠시스,50110,Dec-17,4697201,3662616
(주)컴투스,78340,Dec-17,23117,23117
(주)컴투스홀딩스,63080,Dec-17,1624764,1555751
(주)케미메디,205290,Dec-17,0,
(주)케스피온,79190,Dec-17,1804905,1548470
(주)케어랩스,263700,Dec-17,140937,130790
(주)케어젠,214370,Dec-17,0,0
(주)케이사인,192250,Dec-17,355097,348720
(주)케이씨씨건설,21320,Dec-17,3956331,3956331
(주)케이씨아이,36670,Dec-17,201363,201363
(주)케이씨에스,115500,Dec-17,0,0
(주)케이씨티,89150,Dec-17,488201,488201
(주)케이씨피드,25880,Dec-17,1062386,774652
(주)케이아이엔엑스,93320,Dec-17,0,0
(주)케이에스피,73010,Dec-17,1323372,1323372
(주)케이에이치바텍,60720,Dec-17,3161258,786202
(주)케이엑스이노베이션,122450,Dec-17,1989473,870907
(주)케이엑스하이텍,52900,Dec-17,157850,147605
(주)케이엔더블유,105330,Dec-17,354739,221904
(주)케이엔엔,58400,Dec-17,0,0
(주)케이엘넷,39420,Dec-17,0,0
(주)케이엠,83550,Dec-17,169941,144083
(주)케이엠더블유,32500,Dec-17,5685195,5594461
(주)케이지모빌리언스,46440,Dec-17,1693988,796184
(주)케이지이니시스,35600,Dec-17,2977237,1049832
(주)케이티서브마린,60370,Dec-17,457333,457333
(주)케이티알파,36030,Dec-17,10770,10770
(주)케이프,64820,Dec-17,6674408,2901386
(주)케이피에스,256940,Dec-17,200167,200167
