,Unnamed: 0.1,Unnamed: 0,회사명,거래소코드,회계년도,유동자산(*)(IFRS연결),유동자산(*)(IFRS),유동자산증가율
1353,1353,1353,(주)케이지이니시스,35600,17-Dec,560368883,213441739.0,10.749030366461621
1354,1354,1354,(주)케이티서브마린,60370,16-Dec,25210537,25210537.0,
1355,1355,1355,(주)케이티서브마린,60370,17-Dec,17358087,17358087.0,-31.14749201891257
1356,1356,1356,(주)케이티알파,36030,16-Dec,158209706,158209706.0,
1357,1357,1357,(주)케이티알파,36030,17-Dec,150368051,150368051.0,-4.95649426211563
1358,1358,1358,(주)케이프,64820,16-Dec,32952659,42133714.0,
1359,1359,1359,(주)케이프,64820,17-Dec,33726773,25134364.0,2.349170062421968
1360,1360,1360,(주)케이피에스,256940,16-Dec,19743296,19743296.0,
1361,1361,1361,(주)케이피에스,256940,17-Dec,24817252,24817252.0,25.699640019579295
1362,1362,1362,(주)케이피에프,24880,16-Dec,243212125,197185371.0,
1363,1363,1363,(주)케이피에프,24880,17-Dec,276765795,223518980.0,13.796051492087402
1364,1364,1364,(주)케이피엠테크,42040,16-Dec,28502839,28444268.0,
1365,1365,1365,(주)케이피엠테크,42040,17-Dec,31552015,32061947.0,10.697797507118501
1366,1366,1366,(주)케이피티유,54410,16-Dec,10321941,10321941.0,
1367,1367,1367,(주)케이피티유,54410,17-Dec,14636209,13646557.0,41.79706123102234
1368,1368,1368,(주)케일럼,258610,16-Dec,17750273,17750273.0,
1369,1369,1369,(주)케일럼,258610,17-Dec,18640441,18640441.0,5.014953854512538
1370,1370,1370,(주)켐온,217600,16-Dec,0,,
1371,1371,1371,(주)켐온,217600,17-Dec,15621885,15621885.0,inf
1372,1372,1372,(주)켐트로닉스,89010,16-Dec,94127044,88082629.0,
1373,1373,1373,(주)켐트로닉스,89010,17-Dec,96092828,96215784.0,2.088436985230313
1374,1374,1374,(주)켐트로스,220260,16-Dec,0,,
1375,1375,1375,(주)켐트로스,220260,17-Dec,26964219,26964219.0,inf
1376,1376,1376,(주)코너스톤네트웍스,33110,16-Dec,54192399,38702235.0,
1377,1377,1377,(주)코너스톤네트웍스,33110,17-Dec,34550901,34042491.0,-36.24400905374202
1378,1378,1378,(주)코다코,46070,16-Dec,147048459,117199271.0,
1379,1379,1379,(주)코다코,46070,17-Dec,144973642,147219140.0,-1.410975003825099
