회사명,거래소코드,회계년도,매출원가(*)(IFRS),매출액(수익)(*)(IFRS),매출원가(*)(IFRS연결),매출액(수익)(*)(IFRS연결),매출원가대매출액
(주)마이크로프랜드,147760,16-Dec,34324718,44775162,34324718,44775162,76.66017601
(주)마이크로프랜드,147760,17-Dec,37953300,50189558,37953300,50189558,75.61991281
(주)마크로젠,38290,16-Dec,41897453,67660472,61254547,91113058,67.22916379
(주)마크로젠,38290,17-Dec,43402204,71459329,68127516,101792522,66.9278201
(주)맘스터치앤컴퍼니,220630,16-Dec,149426478,201871094,149471430,201928721,74.02187725
(주)맘스터치앤컴퍼니,220630,17-Dec,161341586,223574323,171893138,239567842,71.75134048
(주)매직마이크로,127160,16-Dec,66322977,66119094,64638020,64824128,99.7129032
(주)매직마이크로,127160,17-Dec,60613759,63906772,74880524,77652131,96.43073929
(주)매커스,93520,16-Dec,51904410,64169757,55431234,67725370,81.84707444
(주)매커스,93520,17-Dec,66497102,83872865,67550796,87364783,77.32039579
(주)맥스로텍,141070,16-Dec,39239774,40091369,39239774,40091369,97.8758645
(주)맥스로텍,141070,17-Dec,33653288,38651323,33653288,38651323,87.06891611
(주)멀티캠퍼스,67280,16-Dec,115589052,176065301,118397587,186478433,63.49130304
(주)멀티캠퍼스,67280,17-Dec,139678948,190763666,142058778,201225659,70.59675128
(주)메디아나,41920,16-Dec,33568241,52366919,34122633,53394731,63.90636747
(주)메디아나,41920,17-Dec,34129670,51225192,34626418,52362747,66.12796307
(주)메디콕스,54180,16-Jun,16154007,19522154,16154007,19522154,82.7470524
(주)메디콕스,54180,17-Jun,14694222,16025310,14694222,16025310,91.69383931
(주)메디톡스,86900,16-Dec,23665682,121761686,24080493,133255671,18.07089546
(주)메디톡스,86900,17-Dec,34248235,167864736,34591759,181239191,19.08624664
(주)메디프론디비티,65650,16-Dec,11594494,13096877,11594494,13096877,88.52869276
(주)메디프론디비티,65650,17-Dec,18467874,20910434,18467874,20910434,88.31894163
(주)메지온,140410,16-Dec,4249274,11940967,3787445,8751241,43.27894752
(주)메지온,140410,17-Dec,4687259,5585880,4687259,5585880,83.91263328
(주)메카로,241770,16-Dec,36408928,48134322,36408928,48134322,75.64026351
(주)메카로,241770,17-Dec,50022344,106038329,50022344,106038329,47.17383278
(주)메타바이오메드,59210,16-Dec,25594547,41268230,42021960,65783883,63.87880752
(주)메타바이오메드,59210,17-Dec,26947006,44185868,44635647,65341014,68.31183703
(주)멕아이씨에스,58110,16-Dec,4609897,7946574,4550645,7920354,57.45507082
(주)멕아이씨에스,58110,17-Dec,5005532,8514960,5042904,8602502,58.62136388
(주)멜파스,96640,16-Dec,63678219,83326596,63678219,83326596,76.42004121
(주)멜파스,96640,17-Dec,66859281,55841452,66859281,55841452,119.7305561
(주)모다,149940,16-Dec,29411803,47055662,48885665,93948191,52.03470602
(주)모다,149940,17-Dec,34653559,29920748,37327083,118523420,31.49342383
(주)모다이노칩,80420,16-Dec,46749156,120131089,75044143,183036443,40.99956368
(주)모다이노칩,80420,17-Dec,46986837,166579438,112530733,311755063,36.09587986
(주)모두투어네트워크,80160,16-Dec,0,205831518,11161136,237084495,4.707661714
(주)모두투어네트워크,80160,17-Dec,0,249355585,10915995,290948152,3.751869508
(주)모바일리더,100030,16-Dec,3518260,6275188,8788060,13419242,65.48849779
(주)모바일리더,100030,17-Dec,2942112,6271453,8183372,13343523,61.32842129
(주)모베이스,101330,16-Dec,32899323,49860650,224716967,285420879,78.73178998
(주)모베이스,101330,17-Dec,37069351,55904808,268589868,320774245,83.73174349
(주)모베이스전자,12860,16-Dec,540581615,574275654,661970084,731169856,90.53574605
(주)모베이스전자,12860,17-Dec,560962248,584945911,674591957,710241532,94.98064061
(주)모비스,250060,16-Dec,,,0,0,#DIV/0!
(주)모비스,250060,17-Dec,1534283,2389536,1534283,2389536,64.20840699
(주)모헨즈,6920,16-Dec,38951765,41563233,102542571,112234938,91.36421584
(주)모헨즈,6920,17-Dec,36274066,38478190,108932742,117339016,92.8359089
(주)미래SCI,28040,16-Dec,12046684,16509287,12046684,16509287,72.96913549
(주)미래SCI,28040,17-Dec,17983468,18319387,18679856,19108916,97.7546607
(주)미래생명자원,218150,16-Dec,,,0,0,#DIV/0!
