,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,회사명,거래소코드,회계년도,자산(*)(IFRS연결),자산(*)(IFRS),* (정상)영업손익(보고서기재)(IFRS연결),* (정상)영업손익(보고서기재)(IFRS),당기순이익(손실)(IFRS연결),당기순이익(손실)(IFRS),총자본증가율,영업이익증가율,순이익증가율
101,101,101,101,(주)네패스,33640,19-Dec,521648374,392537623.0,61591419,42721595.0,31091671,22314275.0,84.98718152,179.59386329441597,35.480507716527086
102,102,102,102,(주)넥스턴바이오사이언스,89140,18-Dec,113520280,113520280.0,4102995,4102995.0,5548998,5548998.0,,,
103,103,103,103,(주)넥스턴바이오사이언스,89140,19-Dec,105169657,105169657.0,2997381,2997381.0,5757745,5757745.0,-7.356062723,-26.94651102426398,3.7618863802077422
104,104,104,104,(주)넥스트아이,137940,18-Dec,177572044,96931481.0,8381537,1787403.0,-6984417,-14184474.0,,,
105,105,105,105,(주)넥스트아이,137940,19-Dec,174552667,99320936.0,3690399,-4134866.0,-3034500,-8985430.0,-1.700367317,-55.969901463180314,56.553281397717235
106,106,106,106,(주)넥스트엔터테인먼트월드,160550,18-Dec,256522672,210370784.0,-10606138,-8928791.0,-14763933,-10409333.0,,,
107,107,107,107,(주)넥스트엔터테인먼트월드,160550,19-Dec,313341346,212129385.0,-8149288,-2310155.0,-11086371,-5267791.0,22.14957203,23.164416680227994,24.909094344982467
108,108,108,108,(주)넥슨게임즈,225570,18-Dec,29415924,29415924.0,-10770463,-10770463.0,-12575177,-12575177.0,,,
109,109,109,109,(주)넥슨게임즈,225570,19-Dec,72946033,72946033.0,-17109996,-17109996.0,-17072539,-17072539.0,147.9814437,-58.86035726,-35.76380674
110,110,110,110,(주)넵튠,217270,18-Dec,129607837,123729011.0,-18370835,-4538944.0,-36924774,-31935240.0,,,
111,111,111,111,(주)넵튠,217270,19-Dec,115667487,113005518.0,-10119370,1179688.0,-20788823,-22287179.0,-10.75579249,44.916112958393015,43.699525418896265
112,112,112,112,(주)노랑풍선,104620,18-Dec,98461420,97890735.0,3545045,3630197.0,4486046,4656704.0,,,
113,113,113,113,(주)노랑풍선,104620,19-Dec,114981929,114665477.0,-2058522,-1815709.0,-1655833,-1660509.0,16.77866214,-158.0675845,-136.910745
114,114,114,114,(주)노바렉스,194700,18-Dec,106320975,107314076.0,11334721,12406850.0,9151951,10479899.0,,,
115,115,115,115,(주)노바렉스,194700,19-Dec,154372405,155770082.0,16305801,17190631.0,14506483,14933775.0,45.19468524,43.85710067,58.50700031
116,116,116,116,(주)노바텍,285490,18-Dec,33247538,32623828.0,6672041,6648162.0,6867267,6735210.0,,,
117,117,117,117,(주)노바텍,285490,19-Dec,39961029,44428906.0,5524953,4407343.0,5493009,5445767.0,20.19244553,-17.1924603,-20.01171645
118,118,118,118,(주)노블엠앤비,106520,18-Dec,110217014,89145551.0,-17705186,-12729650.0,-41279668,-42255446.0,,,
119,119,119,119,(주)노블엠앤비,106520,19-Dec,106373832,93644281.0,-1591638,4923948.0,-13979836,-11980056.0,-3.486922627,91.01032883811556,66.13384584391522
120,120,120,120,(주)노터스,278650,18-Dec,43741174,41414155.0,5985687,5293275.0,3855567,3134675.0,,,
121,121,121,121,(주)노터스,278650,19-Dec,61530652,57879362.0,6732641,5672002.0,4553784,3744943.0,40.66986862,12.47900199,18.10932089
122,122,122,122,(주)녹십자셀,31390,18-Dec,125379292,124075999.0,3774000,3916848.0,13905761,13667172.0,,,
123,123,123,123,(주)녹십자셀,31390,19-Dec,153721997,151786870.0,5691697,5364560.0,11057563,10727620.0,22.6055711,50.813381028086916,-20.482144055258825
124,124,124,124,(주)녹십자엠에스,142280,18-Dec,63972829,60982362.0,-5918853,-4871936.0,-11228629,-10571067.0,,,
125,125,125,125,(주)녹십자엠에스,142280,19-Dec,88866125,85901362.0,-4443105,-4100733.0,-16350335,-16674516.0,38.91229509,24.933006445674526,-45.612923893023805
126,126,126,126,(주)녹십자웰빙,234690,18-Dec,38973487,38973487.0,8408546,8408546.0,5677973,5677973.0,,,
127,127,127,127,(주)녹십자웰빙,234690,19-Dec,106715710,106715710.0,7624194,7624194.0,5699385,5699385.0,173.8161715,-9.328033646,0.377106408
128,128,128,128,(주)녹원씨엔아이,65560,18-Dec,125078941,107122043.0,16597962,11558461.0,6203820,3375886.0,,,
129,129,129,129,(주)녹원씨엔아이,65560,19-Dec,103930553,88797759.0,8699313,8335754.0,-9154372,-8666729.0,-16.9080325,-47.588065329948336,-247.56024513928514
130,130,130,130,(주)누리플랜,69140,18-Dec,47522740,41435705.0,-2318449,-2161215.0,369979,373154.0,,,
131,131,131,131,(주)누리플랜,69140,19-Dec,117532072,53279801.0,-2268368,-1809542.0,-3243838,-3518129.0,147.317541,2.1601078997208907,-976.7627351822672
132,132,132,132,(주)누리플렉스,40160,18-Dec,128568000,114473847.0,17333068,17061920.0,11747611,10441379.0,,,
133,133,133,133,(주)누리플렉스,40160,19-Dec,128558142,115319472.0,11613034,11634024.0,8862080,8789527.0,-0.007667538,-33.00070131842787,-24.56270470651437
134,134,134,134,(주)누보,332290,19-Dec,0,,0,,0,,,,
135,135,135,135,(주)뉴로스,126870,18-Dec,155859633,137666643.0,878736,-435182.0,-7535670,-8005993.0,,,
136,136,136,136,(주)뉴로스,126870,19-Dec,168006215,149424050.0,-4788021,-4598081.0,-25139887,-26574908.0,7.793282819,-644.8759354345333,-233.61183544396184
137,137,137,137,(주)뉴보텍,60260,18-Dec,30303894,30303894.0,214132,214132.0,-1880018,-1880018.0,,,
138,138,138,138,(주)뉴보텍,60260,19-Dec,46232673,46232673.0,1102452,1102452.0,1803529,1803529.0,52.56347254,414.846916855024,204.2410740276425
139,139,139,139,(주)뉴인텍,12340,18-Dec,42464348,40551698.0,-2987869,-1954203.0,-3941089,-3901526.0,,,
140,140,140,140,(주)뉴인텍,12340,19-Dec,49776532,46884561.0,272960,1032559.0,-1101245,-1101245.0,17.21958383,1194.6178927315357,72.05734252639309
141,141,141,141,(주)뉴트리,270870,18-Dec,58916506,58954917.0,9893473,10164539.0,2137856,2247091.0,,,
142,142,142,142,(주)뉴트리,270870,19-Dec,77528522,72505084.0,11951750,13158809.0,9467873,10480516.0,31.5904952,20.80439296,342.8676674
143,143,143,143,(주)뉴파워프라즈마,144960,18-Dec,143552780,143481057.0,11806531,12511396.0,13252599,13625603.0,,,
144,144,144,144,(주)뉴파워프라즈마,144960,19-Dec,150094736,150733648.0,3652654,4619660.0,5296883,6129544.0,4.557178203,-69.06242824416418,-60.031364413878364
145,145,145,145,(주)뉴프렉스,85670,18-Dec,144998447,126880511.0,10551258,10536677.0,7370622,6852890.0,,,
146,146,146,146,(주)뉴프렉스,85670,19-Dec,137433890,116796779.0,-9956858,-8868173.0,-9634357,-5770275.0,-5.216991738,-194.36654851961728,-230.71294390079967
147,147,147,147,(주)다나와,119860,18-Dec,108421387,99572838.0,20166523,21664886.0,16395902,17341485.0,,,
148,148,148,148,(주)다나와,119860,19-Dec,154181938,119918686.0,28520423,26066426.0,23583163,22185954.0,42.20620328,41.42459262808963,43.83571577824751
149,149,149,149,(주)다날,64260,18-Dec,456519738,420268096.0,8799571,21847127.0,-2918329,11439881.0,,,
150,150,150,150,(주)다날,64260,19-Dec,512017556,482001222.0,10888164,24536564.0,22794705,30391147.0,12.15671818,23.735168453098453,881.087567577199
151,151,151,151,(주)다보링크,340360,19-Dec,0,,0,,0,,,,
152,152,152,152,(주)다산네트웍스,39560,18-Dec,365996219,235773847.0,10205189,1465894.0,-24771007,-29524395.0,,,
153,153,153,153,(주)다산네트웍스,39560,19-Dec,453482793,251398349.0,-194075,6576045.0,-9548924,4534549.0,23.90368246,-101.90172862060662,61.451207857637755
154,154,154,154,(주)다우데이타,32190,18-Dec,19770709816,310392218.0,361633241,9039406.0,232911621,10528931.0,,,
155,155,155,155,(주)다우데이타,32190,19-Dec,25214812744,385584559.0,558977520,9763994.0,408847438,11598947.0,27.5362037,54.570281884015195,75.53758642210472
156,156,156,156,(주)다원시스,68240,18-Dec,357376527,337404725.0,8692099,13710305.0,6033173,12023764.0,,,
157,157,157,157,(주)다원시스,68240,19-Dec,535778020,518845427.0,8255509,13749752.0,4247763,11420076.0,49.91975676,-5.022837406706942,-29.593217366715656
158,158,158,158,(주)대동스틸,48470,18-Dec,73640711,73640711.0,-419269,-419269.0,46830,46830.0,,,
159,159,159,159,(주)대동스틸,48470,19-Dec,78314977,78314977.0,-520332,-520332.0,312615,312615.0,6.347393903,-24.10457248210576,567.5528507367072
160,160,160,160,(주)대륙제관,4780,18-Dec,151007379,151007379.0,5624436,5624436.0,3629709,3629709.0,,,
161,161,161,161,(주)대륙제관,4780,19-Dec,157495147,157495147.0,8360578,8360578.0,5362796,5362796.0,4.296325148,48.64740215730075,47.74727119997774
162,162,162,162,(주)대림제지,17650,18-Dec,258751456,225546501.0,13359354,8680809.0,12874056,8796460.0,,,
163,163,163,163,(주)대림제지,17650,19-Dec,229356109,229356109.0,5938945,5938945.0,2511384,2511384.0,-11.36045665,-55.54466930062636,-80.49267456969272
164,164,164,164,(주)대명소노시즌,7720,18-Dec,412281944,138377414.0,9104713,6553335.0,-7952844,-4293704.0,,,
165,165,165,165,(주)대명소노시즌,7720,19-Dec,243679256,244340471.0,3886672,6335683.0,63292506,81508810.0,-40.89499685,-57.311427608975706,895.8474477809448
166,166,166,166,(주)대성미생물연구소,36480,18-Dec,38098477,38098477.0,3409455,3409455.0,3170130,3170130.0,,,
167,167,167,167,(주)대성미생물연구소,36480,19-Dec,51027758,51027758.0,3380389,3380389.0,2471117,2471117.0,33.9364773,-0.8525116184258188,-22.049979022942274
168,168,168,168,(주)대성엘텍,25440,18-Dec,109828228,101186121.0,-1414248,-1742751.0,-2799944,-3327387.0,,,
169,169,169,169,(주)대성엘텍,25440,19-Dec,110542670,99517673.0,-6910419,-8335565.0,-9945700,-11898216.0,0.650508538,-388.62851494221667,-255.21067564208425
170,170,170,170,(주)대성파인텍,104040,18-Dec,92396974,91549975.0,757768,757768.0,2982309,2852532.0,,,
171,171,171,171,(주)대성파인텍,104040,19-Dec,91992889,90442869.0,311808,343348.0,1319995,199964.0,-0.437335751,-58.85178577084279,-55.73916049611224
172,172,172,172,(주)대원,7680,18-Dec,444525540,413728301.0,28607745,29289952.0,30710353,32706752.0,,,
173,173,173,173,(주)대원,7680,19-Dec,518668184,424534266.0,12473921,10704586.0,9261021,8584217.0,16.67905156,-56.39669956510029,-69.84397737140957
174,174,174,174,(주)대유,290380,18-Dec,67925815,67925815.0,7042121,7042121.0,6057795,6057795.0,,,
175,175,175,175,(주)대유,290380,19-Dec,72350682,72350682.0,5332720,5332720.0,4912688,4912688.0,6.514264128,-24.27395099,-18.9030332
176,176,176,176,(주)대유에이피,290120,18-Dec,81805754,81805754.0,10396276,10396276.0,8044044,8044044.0,,,
177,177,177,177,(주)대유에이피,290120,19-Dec,128281832,116058721.0,10098221,10100885.0,7976446,6992662.0,56.81272493,-2.866940047,-0.840348462
178,178,178,178,(주)대창솔루션,96350,18-Dec,151300048,126672627.0,-8051181,-8858950.0,-11110792,-10930019.0,,,
179,179,179,179,(주)대창솔루션,96350,19-Dec,156535069,127390459.0,982239,212714.0,-4844363,-3320723.0,3.460026001,919.6763720438712,56.39948079308837
180,180,180,180,(주)대창스틸,140520,18-Dec,256470766,222595690.0,2813477,2881566.0,-19575289,-1036551.0,,,
181,181,181,181,(주)대창스틸,140520,19-Dec,232138221,228321755.0,4107596,4300435.0,28133,-1816118.0,-9.48745363,45.997141615161595,69681.23555966302
182,182,182,182,(주)대한과학,131220,18-Dec,39034818,32597846.0,2590451,1080059.0,2516975,1251189.0,,,
183,183,183,183,(주)대한과학,131220,19-Dec,44443513,35848945.0,2199945,974526.0,1949877,451270.0,13.85607844,-15.074826738664427,-22.530934951678105
184,184,184,184,(주)대호특수강,21040,18-Dec,157282806,157282806.0,6007434,6007434.0,2127651,2127651.0,,,
185,185,185,185,(주)대호특수강,21040,19-Dec,148023965,148023965.0,4582920,4582920.0,693931,693931.0,-5.886747087,-23.712520187487705,-67.3851115619996
186,186,186,186,(주)더 미동,161570,18-Dec,33966457,37485592.0,-3389329,106502.0,-12540176,-14909221.0,,,
187,187,187,187,(주)더 미동,161570,19-Dec,35112641,35999074.0,-3633248,67988.0,-3337757,-1585273.0,3.374458514,-7.196675212114256,73.3834915873589
188,188,188,188,(주)더블유아이,73570,18-Dec,93185372,50482764.0,-6079441,-3363766.0,-16886627,-14962578.0,,,
189,189,189,189,(주)더블유아이,73570,19-Dec,52816652,52816652.0,881873,881873.0,1401101,1401101.0,-43.32087659,789.3782891640859,1305.239807836837
190,190,190,190,(주)더블유에스아이,299170,18-Dec,0,,0,,0,,,,
191,191,191,191,(주)더블유에스아이,299170,19-Dec,0,,0,,0,,,,
