,Unnamed: 0,회사명,거래소코드,회계년도,자산(*)(IFRS연결),자산(*)(IFRS),* (정상)영업손익(보고서기재)(IFRS연결),* (정상)영업손익(보고서기재)(IFRS),당기순이익(손실)(IFRS연결),당기순이익(손실)(IFRS),총자본증가율,영업이익증가율,순이익증가율
97,97,(주)녹원씨엔아이,65560,16-Dec,11148825,11147971.0,-2345735,-2315575.0,-11030251,-11377390.0,,,
98,98,(주)녹원씨엔아이,65560,17-Dec,114012404,74655878.0,7589053,-2862132.0,427241,-7298649.0,922.6405384,423.5255900602583,2681.739814296849
99,99,(주)누리플랜,69140,16-Dec,35390013,35390013.0,725987,725987.0,2371420,2371420.0,,,
100,100,(주)누리플랜,69140,17-Dec,39137838,38784727.0,482432,482504.0,-13777,28437.0,10.59006393,-33.54812138509367,-100.58095993118047
101,101,(주)누리플렉스,40160,16-Dec,81504821,78999299.0,7862133,8834738.0,6493314,6476003.0,,,
102,102,(주)누리플렉스,40160,17-Dec,139977165,129899288.0,2076427,3095623.0,-5840428,-4707188.0,71.74096364,-73.58952080815729,-189.94525753721442
103,103,(주)뉴로스,126870,16-Dec,103249632,94183417.0,1641486,2492597.0,1087741,2193913.0,,,
104,104,(주)뉴로스,126870,17-Dec,123641550,114416809.0,2272884,2175724.0,-5534148,-5593504.0,19.75011204,38.46502498346011,-608.7744233231991
105,105,(주)뉴보텍,60260,16-Dec,31291657,31291657.0,1249331,1249331.0,616181,616181.0,,,
106,106,(주)뉴보텍,60260,17-Dec,30896817,30896817.0,-1061019,-1061019.0,-950459,-950459.0,-1.261805982,-184.9269729159046,-254.24996875917952
107,107,(주)뉴인텍,12340,16-Dec,44566833,43381914.0,-9271971,-3160115.0,-9653746,-9653746.0,,,
108,108,(주)뉴인텍,12340,17-Dec,43898571,42219720.0,-1621779,-1509936.0,-3572013,-3699510.0,-1.499460372,82.50879990888669,62.99868465567666
109,109,(주)뉴파워프라즈마,144960,16-Dec,127314768,127422569.0,12554726,12769067.0,11007602,11192051.0,,,
110,110,(주)뉴파워프라즈마,144960,17-Dec,140509864,140717173.0,22765945,22726017.0,18572325,18545022.0,10.36415194,81.33366670049192,68.72271544701562
111,111,(주)뉴프렉스,85670,16-Dec,107094374,106503276.0,891381,956795.0,-2492083,-2130864.0,,,
112,112,(주)뉴프렉스,85670,17-Dec,118913434,114863409.0,7066663,6367211.0,4313976,2610320.0,11.03611661,692.7769382564807,273.10723599494884
113,113,(주)다나와,119860,16-Dec,73114739,70684205.0,8534448,8135615.0,8935066,7986970.0,,,
114,114,(주)다나와,119860,17-Dec,92840454,83599143.0,15244766,14472662.0,13513869,12628044.0,26.9791225,78.62626850617637,51.24531816552894
115,115,(주)다날,64260,16-Dec,387778727,377190707.0,5228036,16421052.0,-3910673,9014909.0,,,
116,116,(주)다날,64260,17-Dec,469487277,425811995.0,17262767,23834961.0,10686294,12924588.0,21.0709212,230.1960238988408,373.25971770076404
117,117,(주)다산네트웍스,39560,16-Dec,371291641,255134812.0,-13332213,-410856.0,-41213727,-19387897.0,,,
118,118,(주)다산네트웍스,39560,17-Dec,345584484,264207257.0,30815,595514.0,-2495138,1056003.0,-6.923710141,43365.33506409216,93.94585692286455
