회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS연결),재고자산(*)(IFRS연결),매출액(수익)(*)(IFRS),재고자산(*)(IFRS),재고자산회전률
(주)듀오백,73190,16-Dec,32483515,5277194,31983156,5277194,6.155452121
(주)듀오백,73190,17-Dec,38859471,4449504,38302767,4443813,8.733438828
(주)드래곤플라이,30350,16-Dec,10939185,0,10939185,0,#DIV/0!
(주)드래곤플라이,30350,17-Dec,7565737,0,7565737,0,#DIV/0!
(주)드림시큐리티,203650,16-Dec,0,0,,,#DIV/0!
(주)드림시큐리티,203650,17-Dec,24768402,420328,20574060,227299,58.92636703
(주)드림어스컴퍼니,60570,16-Dec,52327953,16244467,49673321,14460195,3.221278544
(주)드림어스컴퍼니,60570,17-Dec,69451993,14931856,61034418,13106781,4.651263246
(주)드림티엔터테인먼트,220110,16-Dec,18248479,0,8428361,0,#DIV/0!
(주)드림티엔터테인먼트,220110,17-Dec,27756340,0,6950405,0,#DIV/0!
(주)디딤,217620,16-Dec,0,0,,,#DIV/0!
(주)디딤,217620,17-Dec,68808886,3319156,65876555,3297278,20.7308382
(주)디모아,16670,16-Dec,112077282,3105914,53443154,916673,36.08512084
(주)디모아,16670,17-Dec,113100719,1545290,55737521,733703,73.19061082
(주)디바이스이엔지,187870,16-Dec,70777194,21837253,70777194,21837253,3.241121674
(주)디바이스이엔지,187870,17-Dec,115287774,17230329,115287774,17230329,6.690979261
(주)디스플레이테크,66670,16-Dec,89178900,2525919,89178900,2525919,35.30552642
(주)디스플레이테크,66670,17-Dec,82707089,4035899,82707089,4035899,20.49285401
(주)디아크,78590,16-Dec,39105093,414806,39105093,414806,94.27320964
(주)디아크,78590,17-Dec,40019060,391119,40019060,391119,102.3193964
(주)디알텍,214680,16-Dec,36639222,9938306,37786686,8837839,3.686666722
(주)디알텍,214680,17-Dec,38804491,10876508,37757616,10250848,3.567734332
(주)디앤씨미디어,263720,16-Dec,18893266,283206,18893266,283206,66.7120965
(주)디앤씨미디어,263720,17-Dec,26536904,277298,26536904,277298,95.69814423
(주)디에스앤엘,141020,16-Dec,50063640,157658,49888011,157658,317.545827
(주)디에스앤엘,141020,17-Dec,46442299,2172554,46533423,2172554,21.37682147
(주)디에스케이,109740,16-Dec,59535940,7321867,46508330,959016,8.131251223
(주)디에스케이,109740,17-Dec,103291567,2484940,102528479,2209808,41.56702657
(주)디에이테크놀로지,196490,16-Dec,74923371,1211378,74682634,1209946,61.84970422
(주)디에이테크놀로지,196490,17-Dec,101348011,3587525,100382714,3587043,28.25011979
(주)디에이피,66900,16-Dec,247819536,35319942,247819536,35319942,7.016419676
(주)디에이피,66900,17-Dec,297905538,36865883,297905538,36865883,8.080792151
(주)디엔에이링크,127120,16-Dec,11483885,2844471,10403732,2705465,4.037265629
(주)디엔에이링크,127120,17-Dec,14480118,1949747,14179692,1949747,7.426665101
(주)디엔에프,92070,16-Dec,58221631,16069853,58221631,16069853,3.623034448
(주)디엔에프,92070,17-Dec,74380663,12570950,74380663,12570950,5.916868892
(주)디엠에스,68790,16-Dec,248848765,13500415,248456867,1840440,18.43267522
(주)디엠에스,68790,17-Dec,268731601,17969335,265966852,2705533,14.95501091
