회사명,거래소코드,회계년도,매출원가(*)(IFRS),매출액(수익)(*)(IFRS),매출원가(*)(IFRS연결),매출액(수익)(*)(IFRS연결),매출원가대매출액2019
(주)디케이앤디,263020,18-Dec,30402140,37122470,43412994,54765341,79.27092794
(주)디케이앤디,263020,19-Dec,28300545,34748575,48878958,59822274,81.70695417
(주)디케이티,290550,18-Dec,73248378,80671161,226320137,240165625,94.2350251
(주)디케이티,290550,19-Dec,102481588,112873728,318174886,337722378,94.21196424
(주)디티앤씨,187220,18-Dec,27594341,43898718,34458391,59585468,57.83019276
(주)디티앤씨,187220,19-Dec,30669963,41658375,50421524,73787518,68.33340566
(주)딜리,131180,18-Dec,32042487,43110610,32048249,43828703,73.12160024
(주)딜리,131180,19-Dec,28572048,40186673,28742889,40486467,70.99381875
(주)라닉스,317120,18-Dec,4776516,9810741,4776516,9810741,48.68659768
(주)라닉스,317120,19-Dec,3477599,9044034,3477599,9044034,38.45185677
(주)라이온켐텍,171120,18-Dec,122205028,137943447,122205028,137943447,88.59067296
(주)라이온켐텍,171120,19-Dec,130400393,156075491,130400393,156075491,83.54956449
(주)라이트론,69540,18-Dec,27296274,33984112,30606081,37937437,80.67514155
(주)라이트론,69540,19-Dec,69914875,110398230,70657655,112769838,62.65651902
(주)라파스,214260,18-Dec,6371488,9725083,6401428,10051484,63.68639695
(주)라파스,214260,19-Dec,10187687,17927889,9918103,18168040,54.59093551
(주)랩지노믹스,84650,18-Dec,18101929,27538727,18101929,27538727,65.73262809
(주)랩지노믹스,84650,19-Dec,19786773,33175359,19786773,33175359,59.6429808
(주)러셀,217500,18-Dec,21784099,31261482,21784099,31261482,69.6835134
(주)러셀,217500,19-Dec,32566520,41027041,32566520,41027041,79.37818377
(주)레고켐바이오사이언스,141080,18-Dec,15349442,22884676,19331863,25240302,76.59125077
(주)레고켐바이오사이언스,141080,19-Dec,16974096,54521912,22689054,57500139,39.45912896
(주)레드로버,60300,18-Dec,22662129,12275976,22662129,12275976,184.6055173
(주)레드로버,60300,19-Dec,11218708,9240374,13664029,12084598,113.0697852
(주)레드캡투어,38390,18-Dec,42109384,254173145,42403650,254944030,16.63253303
(주)레드캡투어,38390,19-Dec,40615615,250695393,46516905,258761857,17.97672406
(주)레몬,294140,18-Dec,28944965,31437598,28944965,31437598,92.07117223
(주)레몬,294140,19-Dec,48277804,49653530,48277804,49653530,97.22934905
(주)레이,228670,18-Dec,29075997,47565271,29073957,51533645,56.41742788
(주)레이,228670,19-Dec,37557394,64544473,38538195,73108726,52.71353655
(주)레이언스,228850,18-Dec,65451076,104485862,71051514,116389469,61.0463426
(주)레이언스,228850,19-Dec,63587492,106382013,75270868,126174798,59.65602418
(주)레이크머티리얼즈,281740,18-Dec,,,0,0,#DIV/0!
