회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),부채(*)(IFRS연결)(천원),자본(*)(IFRS연결)(천원),현금및현금성자산(*)(IFRS연결)(천원)
(주)모베이스전자,12860,16-Dec,645936899,457605165,188331734,8896610
(주)모베이스전자,12860,17-Dec,576154630,438246030,137908600,13015748
(주)모비스,250060,16-Dec,0,0,0,0
(주)모비스,250060,17-Dec,18034552,988499,17046053,1891376
(주)모헨즈,6920,16-Dec,79697874,51072400,28625474,5033831
(주)모헨즈,6920,17-Dec,83268394,52087657,31180737,8403288
(주)미래SCI,28040,16-Dec,45422612,29037979,16384633,23599
(주)미래SCI,28040,17-Dec,52360547,34054463,18306085,298280
(주)미래생명자원,218150,16-Dec,0,0,0,0
(주)미래생명자원,218150,17-Dec,30960328,6296693,24663635,15195740
(주)미래컴퍼니,49950,16-Dec,99550771,28240458,71310313,7479745
(주)미래컴퍼니,49950,17-Dec,164648625,65802429,98846196,39295073
(주)미래테크놀로지,213090,16-Dec,47605922,1644396,45961526,13597316
(주)미래테크놀로지,213090,17-Dec,100335957,25545496,74790462,12874648
(주)미애부,225850,16-Dec,0,0,0,0
(주)미애부,225850,17-Dec,0,0,0,0
(주)미코,59090,16-Dec,166968576,88114598,78853978,28742256
(주)미코,59090,17-Dec,202082378,85231920,116850457,50559759
(주)미투온,201490,16-Dec,47339503,1834472,45505032,1890215
(주)미투온,201490,17-Dec,149419199,83899504,65519695,35829216
(주)바른손,18700,16-Mar,29041271,10275008,18766263,744143
(주)바른손,18700,17-Mar,40851312,4551031,36300281,16159626
(주)바른손이앤에이,35620,16-Dec,68782257,23545151,45237106,15266676
(주)바른손이앤에이,35620,17-Dec,72073730,34780043,37293687,39868879
(주)바른전자,64520,16-Dec,124804257,60214204,64590053,9611989
(주)바른전자,64520,17-Dec,95254890,53600286,41654604,3381032
(주)바이넥스,53030,16-Dec,177100025,35325149,141774876,6471007
(주)바이넥스,53030,17-Dec,167774068,34683705,133090363,11294432
(주)바이오니아,64550,16-Dec,63709625,37594722,26114903,2900904
(주)바이오니아,64550,17-Dec,58695411,31549597,27145814,4359879
(주)바이오로그디바이스,208710,16-Dec,52640799,16022605,36618194,2360540
(주)바이오로그디바이스,208710,17-Dec,63923411,21987475,41935936,12453835
(주)바이오빌,65940,16-Dec,107762125,37604766,70157358,10364472
(주)바이오빌,65940,17-Dec,203160573,125845050,77315523,6168136
(주)바이오스마트,38460,16-Dec,112165319,54819318,57346001,8519682
(주)바이오스마트,38460,17-Dec,112735334,49184925,63550408,5635526
(주)바이오톡스텍,86040,16-Dec,48007296,22444931,25562365,10616675
(주)바이오톡스텍,86040,17-Dec,59770502,28529781,31240721,7106161
(주)바텍,43150,16-Dec,390173060,133129906,257043154,25502623
(주)바텍,43150,17-Dec,321481558,122870900,198610658,20459518
(주)배럴,267790,16-Dec,13957756,5422654,8535102,5344071
(주)배럴,267790,17-Dec,18038706,5401544,12637162,7345776
(주)백금티앤에이,46310,16-Dec,64969546,34830027,30139519,6542236
(주)백금티앤에이,46310,17-Dec,74533011,39165738,35367273,5258743
(주)버킷스튜디오,66410,16-Dec,23751307,2998953,20752354,1592069
(주)버킷스튜디오,66410,17-Dec,24444762,3037635,21407128,1263765
(주)베노홀딩스,206400,16-Dec,20238153,3240326,16997827,6784522
(주)베노홀딩스,206400,17-Dec,17769478,4312824,13456654,9409507
(주)베셀,177350,16-Dec,76210812,33827510,42383302,743940
(주)베셀,177350,17-Dec,97668551,52400167,45268384,8841483
(주)보광산업,225530,16-Dec,87769270,33298193,54471078,2964231
(주)보광산업,225530,17-Dec,90402464,31875629,58526835,9373085
(주)보라티알,250000,16-Dec,27087718,11659765,15427953,159259
(주)보라티알,250000,17-Dec,60853021,13620621,47232400,571850
(주)본느,226340,16-Dec,0,0,0,0
(주)본느,226340,17-Dec,0,0,0,0
(주)부-스타,8470,16-Dec,82882152,16938090,65944062,20147394
(주)부-스타,8470,17-Dec,84540828,15305315,69235513,16434921
(주)부방,14470,16-Dec,275144751,80903270,194241481,7712099
(주)부방,14470,17-Dec,274081718,80721170,193360547,21541253
(주)뷰웍스,100120,16-Dec,129948073,19564784,110383288,34763708
(주)뷰웍스,100120,17-Dec,137641189,11559305,126081885,37303473
(주)브리지텍,64480,16-Dec,62590715,13480144,49110570,31552109
(주)브리지텍,64480,17-Dec,51895512,8812773,43082739,13138952
(주)브이원텍,251630,16-Dec,31944286,7684350,24259936,7699045
(주)브이원텍,251630,17-Dec,88099849,26659744,61440105,10891750
(주)브이티지엠피,18290,16-Dec,62089520,28669149,33420371,1532367
