종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"000990","동부하이텍 ","15550","50","0.32","3112","5.00",,,"5708","2.72","0","0.00"
"000995","동부하이텍1우 ","33150","-350","-1.04",,,,,,,"0","0.00"
"005830","동부화재 ","73000","-400","-0.54","6800","10.74",,,"53754","1.36","1550","2.12"
"026960","동서 ","26600","300","1.14","1225","21.71",,,"11234","2.37","670","2.52"
"002210","동성제약 ","3840","15","0.39","23","166.96",,,"2577","1.49","0","0.00"
"102260","동성코퍼레이션 ","6250","-20","-0.32","508","12.30",,,"5860","1.07","200","3.20"
"005190","동성화학 ","18450","-50","-0.27","1952","9.45",,,"16945","1.09","500","2.71"
"000640","동아쏘시오홀딩스 ","140500","-500","-0.35","10560","13.30",,,"107237","1.31","1000","0.71"
"058730","동아에스텍 ","6000","50","0.84","645","9.30",,,"6317","0.95","150","2.50"
"170900","동아에스티 ","84300","-1000","-1.17","6192","13.61",,,"68893","1.22","1000","1.19"
"028100","동아지질 ","8940","90","1.02","404","22.13",,,"12033","0.74","175","1.96"
"007340","동아타이어 ","24950","550","2.25","3510","7.11",,,"30135","0.83","250","1.00"
"001520","동양 ","2970","-30","-1.00","2636","1.13",,,"4013","0.74","100","3.37"
"001527","동양2우B ","13200","-200","-1.49",,,,,,,"150","1.14"
"001529","동양3우B ","23850","500","2.14",,,,,,,"150","0.63"
"084670","동양고속 ","38450","-250","-0.65","5963","6.45",,,"49367","0.78","1750","4.55"
"030790","동양네트웍스 ","1125","-20","-1.75",,,,,"797","1.41","0","0.00"
"002900","동양물산 ","2220","20","0.91","62","35.81",,,"2015","1.10","15","0.68"
"082640","동양생명 ","12900","-400","-3.01","1547","8.34",,,"18268","0.71","620","4.81"
"001525","동양우 ","15100","100","0.67",,,,,,,"150","0.99"
"008970","동양철관 ","1195","5","0.42","28","42.68",,,"1085","1.10","0","0.00"
"003580","동원 ","44700","-1300","-2.83","230","194.35",,,"39795","1.12","0","0.00"
"049770","동원F&B ","205500","-3000","-1.44","14730","13.95",,,"135283","1.52","2500","1.22"
"018500","동원금속 ","3240","-5","-0.15","8","405.00",,,"1861","1.74","100","3.09"
"006040","동원산업 ","322500","-7000","-2.12","3451","93.45",,,"211974","1.52","2000","0.62"
"030720","동원수산 ","9700","100","1.04",,,,,"8312","1.17","0","0.00"
"014820","동원시스템즈 ","64100","100","0.16","1274","50.31",,,"8989","7.13","250","0.39"
"014825","동원시스템즈우 ","29700","100","0.34",,,,,,,"300","1.01"
"163560","동일고무벨트 ","11100","50","0.45","1617","6.86",,,"13478","0.82","60","0.54"
"001530","동일방직 ","59500","-400","-0.67",,,,,"222843","0.27","500","0.84"
"004890","동일산업 ","75400","-700","-0.92","1852","40.71",,,"130186","0.58","600","0.80"
"002690","동일제강 ","3600","-50","-1.37","578","6.23",,,"8562","0.42","20","0.56"
"000020","동화약품 ","7720","-90","-1.15","202","38.22",,,"8239","0.94","80","1.04"
"000150","두산 ","110500","1000","0.91",,,,,"96634","1.14","4550","4.12"
"000157","두산2우B ","67300","200","0.30",,,,,,,"4550","6.76"
"011160","두산건설 ","3725","-50","-1.32",,,,,"17224","0.22","0","0.00"
"241560","두산밥캣 ","33450","-1400","-4.02","1476","22.66",,,"27360","1.22","0","0.00"
"082740","두산엔진 ","3040","-40","-1.30",,,,,"8269","0.37","0","0.00"
"000155","두산우 ","68700","400","0.59",,,,,,,"4600","6.70"
"042670","두산인프라코어 ","7810","-160","-2.01",,,,,"9744","0.80","0","0.00"
"034020","두산중공업 ","25800","0","0.00",,,,,"29998","0.86","850","3.29"
"016740","두올 ","4510","115","2.62","1415","3.19",,,"5784","0.78","0","0.00"
"024090","디씨엠 ","12100","150","1.26","398","30.40",,,"11429","1.06","200","1.65"
